Southwest Women's Regionals,Club - Women ,12,9,2015
Fury
 ,Kaela Helton
 ,Alex Snyder
0,Marika Austin
0,Sarah Carnahan
0,Hannah M Kreilkamp
0,Meeri Chang
0,Diana Charrier
0,Stephanie Lim
0,Lisa Couper
0,Elisabeth Duffy
08,Nancy Sun
10,Genevieve Laroche
13,Cree Howard
15,Alden Fletcher
16,Michela Meister
20,Andrea Romano
23,Sabrina Ciccarelli
26,Lisa Pitcaithley
27,Ness Fajardo
33,Anna Nazarov
42,Darragh Kawaoka
44,Maggie Ruden
51,Claire Desmond
61,Lakshmi Narayan
71,Manisha Daryani
77,Carolyn Finney
b,r,e,a,k
Venom
 ,Lisa Shipek
 ,Michelle Gallagher
 ,Kerry Murphy
 ,Laura Prelsnik
 ,Kyria Kershner
 ,Erin Gray
0,Lyda Harris
0,Amy Hudson
0,Nicole Ron
0,Noam Rosenthal
0,Gabrielle Lacy
0,ROSALEEN O'GARA
0,Katy Holt
13,JULIA TENEN
19,Deborah Oslik
19,Gretchen Kiehlbaugh
23,DANI LOCKWOOD
88,Simrit Khalsa
b,r,e,a,k
Wildfire
 ,Lily Dai
 ,Emily Baker
0,Elizabeth Cowan
01,KELLY TIDWELL
07,KELLY JARVIS
11,Tiffanie Gallo
12,Linda Hamon
14,Emma Stockman
15,Brittany Cabriales
16,Jorie Moore
17,SARAH MCNEES
18,Natalie Griffin
19,Amanda Albi
21,Jane Griffin
24,Vivi Stevens
25,STACI HOWARD
29,Katrina Kalantar
50,Claire Dobson
52,Annie Ngo
57,Andrea Duran
69,Angela Wells
81,LAUREN GIBSON
89,Brenda Stevens
96,Patricia Anderson
b,r,e,a,k
Reign
73,Josie Ma
73,Joanna Whitney
73,Monica Petroczy
73,Adair Johnson
73,Laura Wheeler
73,Caroline McKee
73,Jean Frazier
73,Jacquelin Severson
73,JOY PARK
73,LAUREN ENG
73,Brianna Harris
73,Carolyn Williams
73,EMILY APPLEWHITE
73,Suk lyn Lim
73,Jordan Balagot
73,Samantha Saltzman
73,Sydney Friedman
73,NAFEESA ANDRABI
73,ABIGAIL SARAFIAN
73,Nayeli Saldana
73,EMILY BELL
73,Erica Mehra
73,Katelyn Barrett
73,SUZANNE IWANICKI
73,EMILY GEORGE
73,Eileen Wang
b,r,e,a,k
Nightlock
0,MALLORY MEISER
02,Marisa Rafter
03,Loryn Kanemaru
06,Monisha White
07,Claire Sharman
08,Rachel Habbert
09,Alexandra Stambaugh
10,Malina Wiebe
11,Iris Leung
12,Heather Waugh
13,Marie Laurenza
14,Emily Kolanz
15,KATHRYN (KATIE) BARRY
16,Jennifer Founds
17,Abigail Edwards VanMuijen
18,SHANNON BUBB
19,Adrienne Lemberger
20,Bree Cahn
23,Sally Mimms
24,Natasha Won
25,Audrey Wei
26,Teresa Feng
27,Kira Lou
33,Carol Chen
77,Emily Prader
88,Alina Kagan
b,r,e,a,k
Deadly Viper Assassination Squad
 ,Hannah Lerch
 ,Kimmey Hardesty
 ,DRU MARION
 ,Georgia Valentine
 ,Alex Albright
 ,Susan Chen
 ,Deborah Liu
 ,ELLEN ZWICKL
 ,Jennifer Gross
 ,TEGWYN LEWIS-PINE
 ,Sophia Vargas
 ,LAUREN CHAIN
 ,Karin  Lin
 ,BECKIE MENTEN
 ,Ally Mitchell
 ,Laura Franco
 ,NICOLE COPTI
 ,Julianne Bozzini
 ,Louisa McGuirk
0,TIFFANY CHAU
0,YELISAVETA (LIZA) PESENSON
0,Anjile An
b,r,e,a,k
Viva
 ,Jessica Creamer
 ,Amy Lee
 ,ERIN CHILDS
 ,YVETTE  HERZFELD
 ,Jane Carlen
 ,Analise Huysentruyt
0,Amy Halvorsen
10,Julia Johnson
13,Nadine Levin
15,Rachel Chang
16,Samantha Pitman
18,Connie Chan
21,Ellen Smith
24,Avalon Igawa
25,"Lily ""Thud"" Lin"
27,ALICE CHEN
29,Maggie Griffin
33,Amy Elizabeth Leder
35,Alison Forbes
40,Meghan Kemp-Gee
42,Jackelyne Nguyen
50,Enway Melo
70,Samantha Zyck
72,Alice Bee Chen
89,Alexandra Roy
97,Katherine Killebrew
99,Maria Kazantsev
b,r,e,a,k
Tempo
 ,Kelsey Nanneman
0,Claire Leichter
0,Shayla Harris
0,Jessalyn Siu
0,Emily Houlihan
0,Caitlin Boxell
0,Nicole Yu
0,Delphine Wartelle
0,Talora Martin
0,Alicia Monfre
0,Amy Niblack
0,Nicole Wise
0,ELLIS BEIER
0,Hannah Louis
0,CHOI KWUN YU
0,Patricia Li
0,Chenxia Liu
0,Margaret Rosano
0,Laurel Estes
0,Leslie Wu
69,Taylor Martin
b,r,e,a,k
Fury,Venom,15,1,"09/12/2015, 08:30"
Wildfire,Reign,15,3,"09/12/2015, 08:30"
Fury,Reign,15,0,"09/12/2015, 10:30"
Wildfire,Venom,15,9,"09/12/2015, 10:30"
Fury,Wildfire,15,1,"09/12/2015, 12:30"
Venom,Reign,13,5,"09/12/2015, 12:30"
Nightlock,Deadly Viper Assassination Squad,15,5,"09/12/2015, 08:30"
Viva,Tempo,15,6,"09/12/2015, 08:30"
Nightlock,Tempo,15,2,"09/12/2015, 10:30"
Viva,Deadly Viper Assassination Squad,12,9,"09/12/2015, 10:30"
Nightlock,Viva,13,4,"09/12/2015, 12:30"
Deadly Viper Assassination Squad,Tempo,11,7,"09/12/2015, 12:30"
Fury,Nightlock,15,6,"09/13/2015, 11:00"
Fury,Viva,15,3,"09/12/2015, 16:30"
Wildfire,Nightlock,9,15,"09/12/2015, 16:30"
Nightlock,Wildfire,15,9,"09/13/2015, 13:00"
Venom,Wildfire,5,15,"09/13/2015, 11:00"
Viva,Venom,14,15,"09/13/2015, 09:00"
Deadly Viper Assassination Squad,Wildfire,11,15,"09/13/2015, 09:00"
Venom,Tempo,15,7,"09/12/2015, 16:30"
Reign,Deadly Viper Assassination Squad,5,15,"09/13/2015, 16:30"
Tempo,Reign,13,10,"09/13/2015, 09:00"
Viva,Deadly Viper Assassination Squad,15,8,"09/13/2015, 11:00"
