Cooler Classic,Club - Men ,16,8,2014
https://play.usaultimate.org/events/Cooler-Classic/schedule/Men/Club-Men/
MKE,1
0,Joseph Lindsay
0,Dan Magnant
0,ZACHARY KNOBLOCH
0,Dan Margulis
0,Evan Swiatek
0,KURT EGAN
0,JOHN LAFAVOR
0,STEVEN JANSEN
0,Joseph Blankenheim
0,Nick Wismans
0,Max Palzewicz
0,Ben Ben Hirschman
0,TAYLOR DAVIS
0,SAM OUIMET
0,Kevin Pettit-Scantling
0,Ryan Sutter
0,ZACHARY CASTILLO
0,COREY SMITH
0,MATTHEW BENDER
0,Scott Wenzel
7,Matthew Caballero
8,Jacob Knobloch
8,Troy Holland
23,Steven Wick
49,Tim Posl
92,Kevin Brown
b,r,e,a,k
Mad Men,8
0,John Cowgill
0,Zachariah Ehler
0,Nicholas Ladas
0,NICK ZEMAN
2,Edward Kaul
3,Travis Husman
7,Avery Johnson
9,Greg Maddox
9,Peter Walker
57,Austin Reif
99,Jim Aspholm
b,r,e,a,k
Black Market,4
0,Chris Johnson
0,Joe Nellis
0,Sean Hill
0,Chris Santiago
0,Joseph Conerty
1,Daniel Vockeroth
2,Joe Sidrys
4,Zachary Schwulst
5,Jimmy Wiesbrock
6,Kevin Cleary
7,Adam Wright
10,Max Willis
12,Chris O'Connell
13,Daniel Miller
16,Kevin DeAngelis
19,Steven Czechowski
22,Brian Rathunde
23,Ryan Smith
29,James Roush
34,Christopher O'Hara
39,Ross Tuttle
46,KEVIN BIRCHOK
53,Joe Berry
57,Max Richards
80,Peter Bennett
81,Chris Buchta
b,r,e,a,k
Bonehorn,5
0,Aaron Bowles
7,Trevor Rice
8,Grant Maynard
10,Alex Boryca
11,Austin Wehrwein
15,KYLE CRAFT
18,Dominic Antonelli
19,Stewart Buckley
25,Kyle Orians
27,MATT SHEETS
28,Andrew Curry
42,Andy Woolard
44,Timothy Hoarty
55,Chas Busch
64,Jeffrey Snowdon
82,GREG MEYER
99,COLE CRAWFORD
b,r,e,a,k
Haymaker,3
0,Richard Aycock
02,Ricky Chung
03,Michael Egan
05,Richard Andy Spencer
07,Dean Acheson
08,Joshua Stevens-Stein
09,Robert Berg
10,Eugene Chong
11,Cameron Albin
12,Rodrigo Arcibar
13,Kevin Jamieson
15,James Wolf
17,Rob Greenberg
22,Alexander Rummelhart
23,Keith Hernandez
24,Andrew Fischer
26,Tim Kreutzfeldt
27,Andy Leinbach
33,John Malloy
44,ANDREW BAILL
45,Gary LeDonne
47,Dan Kang
54,Alex Stumphauzer
63,Zubair Abdulla
66,William Schmitt
96,Daniel Baker
b,r,e,a,k
Wisconsin Hops,6
00,Tyler Hebert
02,ANDREW JANTZ
03,Daniel Rowan
05,Nathan Daily
07,Thomas Roltgen
08,Daniel Kelk
09,Blake Marlowe
16,David Schreiner
18,CALEB SANFORD
21,Scott Sawinski
22,DANIEL ALBERT
23,Tyler Townsend
24,DOUG WILSON
25,Dylan Boucher
37,Ming Cheng Chew
42,Chase Marty
44,TOM HOEFT
b,r,e,a,k
City Park Ultimate,2
0,Payton Burken
1,Trent Cooper
2,Evan Moe
3,DEREK THATCHER
3,Robert Dennis
4,SEAN NEWLIN
5,SEAN WILLETT
6,Evan Kerr
7,Aaron Hirshberg
8,ERICK BATCHELER
9,Colin Berry
11,Tim Strutzenberg
12,Jacob Grund
12,Jack Sanders
13,DANIEL SCHMIDT
14,Jaime Thatcher
14,JOSH PURMAN
15,Jonathan Beavers
22,Alexander Constant
23,Jamison DiSalvo
24,JOSEPH WANDREI
28,Niko Beauchamp
34,Ben Chapin
42,MAXWELL WILLARD
52,Jacob Kersten
77,Eric Shomo
b,r,e,a,k
Midnight Meat Train,7
0,Alex Horn
0,Gabriel Anzivino
0,Adam Koehler
0,Mike Zaagman
0,Tyler Hanna
12,Conner Carrico
16,Jeff Martin
19,Luke Rynbrandt
22,Joe Deppe
23,Marty Dekker
23,Tyler Denooyer
27,Nathan Sherman
49,JACOB BAXTER
74,JONATHAN CERNANEC
79,NATHAN EMMERT
b,r,e,a,k
Illusion,10
02,Julian Gallo
03,JORDAN METZ
06,Kyle Palmolea
08,Nick Patrum
10,BRANDON SHAFFER
13,JOHN HEANEY
15,Matthew Weber
16,Philip Hanley
22,Erich Awender
23,Jacob Couppee
25,Chase Everett
26,Zach Ohnesorge
27,John Stec
28,Kyle Kwasniewski
29,Drew Flesch
40,MATTHEW RISSLER
42,William Stensvold
47,BEN PREGLER
66,Dylan Weigand
69,Dustin Uhlik
82,Ben Blaser
88,Peter Biedenharn
b,r,e,a,k
Bear Jordan,11
0,Cooper Lane
03,Justin Prevost-Schultz
04,ERIC DAHL
05,BRADLEY MATOLA
06,BRENT  GUSTAFSON
08,GARRETT MCLINN
10,RYAN KOLEGAS
11,TIMOTHY KRUMLAND
12,Scott Sivright Jr
13,Thomas Williams
15,Carlton Nelson
17,Filip Wilk
19,John Morton
21,Dan Holley
22,MICAH SUSSMAN
23,Jonathan Burrell
24,Greg Wycklendt
28,Alexander McEachin
29,Ross Price
31,Daniel Miller
33,DAVID IRWIN
37,Steve Janda
45,Matt West
47,BRIAN PORRETT
91,PATRICK KIMUTIS
b,r,e,a,k
Hippie Mafia,12
0,JOHN TOMKIEWICZ
0,JOE SCHLATER
0,David Kaftan
0,JACK SUSSMAN
0,Daniel Kress
0,John Devine
2,Shane Mueller
12,PATRICK MULLEN
23,Matt Scholz
28,MARK MAURER
33,Jakub Jezusek
94,LOGAN MCDERMOTT
99,Matt Hulsether
b,r,e,a,k
A Cappella Ultimate,9
02,Aaron Appicelli
04,josh speltz
05,Johnathan Delmundo
07,Jeffrey Vogel
08,DJ Rekstad
11,Nate Haines
12,MATT PETSCHEL
18,Corey Clifford
21,Cody Rondeau
22,JAKOB HAUBLE
23,Nicholas Thell
26,THOR HANSEN
27,Joseph Gargaro
29,Nicholas Helberg
52,ALEX CARDA
88,TIM SHEEDY
99,Dirk Meyer
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
MKE,Bonehorn,13,10,"08/16/2014, 09:00",Pool A
Black Market,Mad Men,10,13,"08/16/2014, 09:00",Pool A
MKE,Mad Men,13,6,"08/16/2014, 10:45",Pool A
Black Market,Bonehorn,13,11,"08/16/2014, 10:45",Pool A
MKE,Black Market,12,8,"08/16/2014, 12:30",Pool A
Bonehorn,Mad Men,11,13,"08/16/2014, 12:30",Pool A
pool,Pool B
City Park Ultimate,Wisconsin Hops,11,13,"08/16/2014, 09:00",Pool B
Haymaker,Midnight Meat Train,13,10,"08/16/2014, 09:00",Pool B
City Park Ultimate,Midnight Meat Train,13,4,"08/16/2014, 10:45",Pool B
Haymaker,Wisconsin Hops,13,6,"08/16/2014, 10:45",Pool B
City Park Ultimate,Haymaker,9,13,"08/16/2014, 12:30",Pool B
Wisconsin Hops,Midnight Meat Train,13,10,"08/16/2014, 12:30",Pool B
pool,Pool C
A Cappella Ultimate,Bear Jordan,10,13,"08/16/2014, 10:45",Pool C
Illusion,Hippie Mafia,13,4,"08/16/2014, 10:45",Pool C
A Cappella Ultimate,Hippie Mafia,5,13,"08/16/2014, 12:30",Pool C
Illusion,Bear Jordan,13,6,"08/16/2014, 12:30",Pool C
A Cappella Ultimate,Illusion,5,13,"08/16/2014, 14:15",Pool C
Bear Jordan,Hippie Mafia,13,8,"08/16/2014, 14:15",Pool C
b,r,e,a,k
clusters,Crossovers
cluster,Crossovers
MKE,Haymaker,15,14,"08/16/2014, 14:15",
Mad Men,Wisconsin Hops,5,13,"08/16/2014, 14:15",
b,r,e,a,k
brackets,Gold Bracket
bracket,1st Place
MKE,Haymaker,8,15,"08/17/2014, 15:00",1st Place
MKE,Wisconsin Hops,15,4,"08/17/2014, 13:00",Semis
City Park Ultimate,Haymaker,8,15,"08/17/2014, 13:00",Semis
MKE,Midnight Meat Train,15,7,"08/17/2014, 11:00",Quarters
Black Market,Wisconsin Hops,11,15,"08/17/2014, 11:00",Quarters
Mad Men,City Park Ultimate,7,15,"08/17/2014, 11:00",Quarters
Bonehorn,Haymaker,10,15,"08/17/2014, 11:00",Quarters
Midnight Meat Train,Bear Jordan,13,8,"08/16/2014, 16:00",Pre-Quarters
Black Market,A Cappella Ultimate,13,2,"08/16/2014, 16:00",Pre-Quarters
City Park Ultimate,Hippie Mafia,13,1,"08/16/2014, 16:00",Pre-Quarters
Bonehorn,Illusion,13,7,"08/16/2014, 16:00",Pre-Quarters
bracket,3rd Place
Wisconsin Hops,City Park Ultimate,9,15,"08/17/2014, 15:00",3rd
b,r,e,a,k
brackets,Silver Bracket
bracket,5th Place
Midnight Meat Train,Mad Men,13,7,"08/17/2014, 15:00",5th
Midnight Meat Train,Black Market,14,13,"08/17/2014, 13:00",5th Semis
