Kokopelli 2016,College - Women ,5,3,2016
Albuquerque,NM,2016-03-05,2016-03-06
https://play.usaultimate.org/events/Kokopelli-2016/schedule/Women/CollegeWomen/
Denver,2
teamInfo,DU Women's Ultimate ,"Denver, Colorado",,https://www.facebook.com/uofdenverclubultimate?ref=aymt_homepage_panel,
coaches,Conrad Hougen
0,Audrey Miklitsch
0,Maddie Steinbrunn
0,Lauren Jones
0,Carolyn Brown
0,Hannah Varela
0,Isabel Clarke
0,Mattes Hannigan
0,Maddie Gelinas
0,Sophia Duncan
0,Hannah Shook
0,Grace Trautman
0,Kathryn  Bach
0,Blair Becker
0,Heather Kraft
15,Christiana Hellinga
20,Marissa Melton
25,Grace Meltesen-Lee
47,Hannah Falkowski
b,r,e,a,k
Arizona State,1
teamInfo,Caliente,"Tempe, Arizona",http://www.calienteultimate.com/,https://www.facebook.com/ASUWomensUltimateCaliente,https://twitter.com/CalienteASU
coaches,Mark Davis,Mark Borger
01,Bianca Garcia
02,Rachael Preschler
03,Kylie Capite
04,Kristen Bennett
06,Amber Ubelhor
07,Cynthia Thomas
08,Jessica Kerlee
09,Andrea Spence
10,Tiffany Ramos
12,Jennifer Dai
12,Jessie Davidson
14,Samantha Baca
15,Everett Johnson
18,BRITTNEY POTZLER
20,KATELYN PITMAN
21,Sydney Arndorfer
22,RICKI CETON
23,Megan Mendieta
31,Krista Marble
42,Nithya Subramanian
70,Lauren Berg
77,Lea Witzel
b,r,e,a,k
Colorado (B),3
teamInfo,Devi,"Boulder, Colorado",http://www.kaliultimate.com/,https://www.facebook.com/ColoradoWomensUltimate,https://twitter.com/DeviUlti
0,Liza  Hasan
0,ERIKA NELSON
0,Britta Bergstrom
0,Elizabeth Rothrock
0,Kelsie Kitz
0,Rebecca Gross
0,Carolyn  Mason
15,Grace Osberg
16,JESSICA SHUSTER
19,Rebecca Sellers
23,ANNA WOOD
24,Kendra Heuer
80,Madison Kuhn
82,Alora Riley
99,Zoe Collins Rath
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Denver,Colorado (B),9,3,"03/05/2016, 09:00",Pool A,Final
Arizona State,Colorado (B),9,3,"03/05/2016, 10:30",Pool A,Final
Arizona State,Denver,7,9,"03/05/2016, 12:00",Pool A,Final
b,r,e,a,k
brackets,Sunday
bracket,Semis
Arizona State,Colorado (B),10,0,"03/06/2016, 09:00",Semis,Final
bracket,Finals
Arizona State,Denver,3,11,"03/06/2016, 11:00",Finals,Final
b,r,e,a,k
