Ok Corral 2016,Club - Men ,29,7,2016
https://play.usaultimate.org/events/Ok-Corral-2016/schedule/Men/Club-Men/
Dreadnought,1
0,KYLE DYER
0,Luc Sutherland
0,GERALD ETHEREDGE
1,Luke Dockery
2,Thomas Dockery
14,Ethan Penner
15,Jacob Moore
20,Aric Powers
24,Taylor Stamps
24,Braxton Furlong
28,Taren Goins
29,Tucker Bankston
32,Drew Taylor
67,Spencer Patterson
b,r,e,a,k
Rawhide,2
0,Skyler Wittman
0,Colby Craige
0,Chris Thibeault
0,Gabriel Sanchez
0,Benjamin Howard
0,David Sanford
0,RESTON DOOLY
1,Chris Passmore
6,Merl Prichard
8,Cameron Guidry
14,Robert Housh
23,Terrell Hoagland
33,Marcus Smith
36,Eric Hurd
b,r,e,a,k
s,t,a,g,e,s
pools,OK Corral
pool,1
Dreadnought,Rawhide,11,7,"07/29/2016, 20:30",1
b,r,e,a,k
pools,OK Corral
pool,2
Dreadnought,Rawhide,9,11,"07/30/2016, 18:00",2
b,r,e,a,k
pools,OK Corral
pool,3
Dreadnought,Rawhide,11,7,"07/30/2016, 20:00",3
b,r,e,a,k
