The Battle for Highgate 2016,Club - Men ,6,8,2016
https://play.usaultimate.org/events/The-Battle-for-Highgate-2016/schedule/Men/Club-Men/
Mockingbird,1
0,Malik Auger-Semmar
0,Charles Bariteau
3,RAYNALD NEMOURS
9,Andre Arsenault
10,Jean-Levy Champagne
17,ANTOINE GENEST
21,Gabriel Monfette
27,MIGUEL GODERRE
29,Simon Ayotte
31,SAMUEL LANGLOIS
49,Félix-Antoine Daigle
86,Jean-Philippe Riopel
b,r,e,a,k
Griffons,3
00,Frederik Gelin
00,Jordan Faries
00,Emmanuel Verreault
00,BASILE LIMOGES
00,Philippe Bisson
00,Étienne Favre
b,r,e,a,k
G Street,2
0,Neil Wacek
0,Dylan Marino
0,Jackson Berman
0,Bastien Taylor
0,Quinn Ledak
0,Heng-Scheng Chuang
0,Ryan Colarusso
3,Jason Dolan
8,David Colburn
9,Bryan Cho
10,Dolan Patrick
21,Jack Duncan
21,Ryan Nielsen
51,Syrus Amedore
b,r,e,a,k
s,t,a,g,e,s
pools,Skirmish 1
pool,Pool A
Mockingbird,G Street,13,5,"08/06/2016, 09:30",Pool A
Mockingbird,Griffons,12,11,"08/06/2016, 11:00",Pool A
G Street,Griffons,8,13,"08/06/2016, 12:30",Pool A
b,r,e,a,k
pools,2nd Round Pool Play
pool,Pool B
Mockingbird,Griffons,13,6,"08/06/2016, 14:00",Pool B
Mockingbird,G Street,13,3,"08/06/2016, 15:30",Pool B
b,r,e,a,k
