First Annual Jaxx Jamboree,College - Men ,2,3,2019
Jackson,TN,2019-03-02,2019-03-03
https://play.usaultimate.org/events/First-Annual-Jaxx-Jamboree/schedule/Men/CollegeMen/
Belmont,6
teamInfo,Disco,"Nashville, Tennessee",,,
0,Caleb Hawkins
0,Caleb Tuttle
0,Joseph Buchholz
0,JT Ruhnke
5,Nicolas Chouard
6,Joe Zak
8,Mitchell Kelly
8,Jack Waite
18,Jonathan Stokes
21,Jones Kolbinsky
69,Joseph Briggs
69,Daniel Gray
69,Grayson Holbert
69,Oluwatito Ebiwonjumi
85,Aaron Wilder
b,r,e,a,k
Union (Tennessee),7
teamInfo,Union Jaxx,"Jackson, Tennessee",,https://www.facebook.com/jaxxclubultimate,https://twitter.com/jaxxultimate
coaches,Dodgen Swanson
8,Jonathan Van Netste
04,Ian Maupin
07,Dakota Stedman
10,Nathanael Dean
11,Alexander Aden
13,Samuel Drotar
15,Samuel Vieira
16,Daniel  Yurov
17,John David Logan
18,Thomas Smith
20,Desmon Stubblefield
21,Riley Boggs
22,Alex Evans
24,Michael Lancaster
25,Tom Verdoorn
26,Gabriel Johnson
27,Tal Wooten
28,Cameron Woodard
32,Nehemiah Guinn
87,Timothy Fletcher
b,r,e,a,k
Georgia Tech (B),4
teamInfo,Tribe,"Atlanta, Georgia",,,
0,Austin Fan
0,Eric Trollinger
0,Ira Soltis
0,Joel Slaby
0,Jonathan Lee
0,Joshua Lee
0,Kevin Fan
0,Michael Burke
0,Ravi Kodali
1,Conner Yurkon
2,Derek Rizzi
5,Alex Chan
7,Giancarlo Tissot
11,Robin Boudard
14,Arshad Mandani
18,Patrick Ufer
21,Hank Persons
23,Elijah Tan
42,Carl Peterson
b,r,e,a,k
Illinois (B),1
teamInfo,Boomland,"Champaign, Illinois",,,https://twitter.com/boomlandulti?lang=en
0,Armandeep Singh
0,Do Yeop Kwon
0,Michael Lally
2,Tyler Smiles
00,Sagar Patel
00,Sufyan Baig
00,Mitchell Wojcik
00,Mitchell McMahon
00,Nelson Perumpel
00,Drew Pellico
00,Emil Broemmelsiek
00,Ajay Suresh
00,Albert Xu
00,Arj Tripathy
00,Kyle Svara
00,Luka Karginov
00,Manasven Grover
00,Arthur Albarran
00,Ben Lee
00,Benjamin Miller
00,Christopher Read
00,Christopher Nguyen
00,Conor Harrington
00,David Farrell
09,Kyle Barry
37,Pierce Lynch
b,r,e,a,k
Truman State,3
teamInfo,JujiTSU ,"Kirksville, Missouri",,https://www.facebook.com/pages/JujiTSU-Ultimate/159311880755819,@JujiTSUltimate
0,Sean Eberle
2,Nicholas Tran
3,Austin Heineman
5,Brennan Travis
8,Jacob Hearst
07,Michael Anderson
10,Zac Dwyer
11,Jason Baltz
12,Benjamin Wolf
13,Andrew Hilliard
15,Jacob Jackson
17,Christopher Stilwell
18,Wolf Wheeler
20,Andrew Richter
21,William Leingang
24,Alexander Wegman
26,Frank Ginder
42,Benjamin Schmidt
58,Benjamin Grabner
88,Bryan Ritchey
99,Nathan Pyles
b,r,e,a,k
Indiana (B),5
teamInfo,HoosierDaddy!s,"Bloomington, Indiana",,,
0,Aidan Knight
0,Caleb Scott
0,Dylan Seal
0,Elijah Earle
0,Grant Rawlins
0,Griffin Halloran
0,Jack Scott
0,Jeremy Sarnowski
0,Jonah Clancy
0,Malachi Johnson
0,Max Blackburn
0,Robert Helfrich
0,Sam Willis
0,William Carter
5,Justin Garcia
7,Vibhav Parimi
13,Keaghan Knight
19,Benjamin Adams
20,Joe Furniss
23,Michael Paglialunga
25,Raymundo Lopez
27,Jacob Fry
28,Benjamin Harris
34,Fisher Dewitt
43,Dan McManus
44,Jared Goldenstein
52,Christian Gonzales
b,r,e,a,k
Alabama (B),2
teamInfo,Yellow Hammer,"Tuscaloosa, Alabama",modules/common/alabamaultimate.wordpress.com,https://www.facebook.com/AlabamaUltimate/,twitter.com/bama_ultimate
0,Austin Herriott
0,Benjamin Makowski
0,Brian Barr
0,Cannon Kvicala
0,Daniel Johnson
0,Ethan Shockley
0,Joshua Jones
0,Joshua Hunt
0,Mathew Rush
0,Michael Cornett
0,Miles French
0,Ricardo DeLeon
0,Tanner Schewe
0,Tanner Tripoli
13,Mitchell Metzger
24,Lukas Kersh
34,Camden McNeely
b,r,e,a,k
Alabama-Huntsville (B),8
teamInfo,Slice ,"Huntsville, Alabama",,,
0,Dhruv Patel
0,Dylan Frausto
0,Jaden Reid
0,Jake Maier
0,Jason Eames
0,Jere Goldsmith
0,Markos Kilbey
0,Bradley Fleming
0,Zach Clayton
0,Zachary Faudi
3,Callahan Diercks
11,Elijah Jaime
42,Noah Schwalb
55,Chris Youngblood
75,Ethan Moldofsky
99,Nolan Anderson
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Illinois (B),Belmont,7,13,"03/02/2019, 09:00",Pool A,Final
Georgia Tech (B),Union (Tennessee),4,13,"03/02/2019, 09:00",Pool A,Final
Illinois (B),Union (Tennessee),4,13,"03/02/2019, 10:30",Pool A,Final
Georgia Tech (B),Belmont,7,10,"03/02/2019, 10:30",Pool A,Final
Illinois (B),Georgia Tech (B),6,8,"03/02/2019, 12:00",Pool A,Final
Belmont,Union (Tennessee),12,11,"03/02/2019, 12:00",Pool A,Final
pool,Pool B
Alabama (B),Indiana (B),8,10,"03/02/2019, 09:00",Pool B,Final
Truman State,Alabama-Huntsville (B),13,5,"03/02/2019, 09:00",Pool B,Final
Alabama (B),Alabama-Huntsville (B),10,9,"03/02/2019, 10:30",Pool B,Final
Truman State,Indiana (B),13,6,"03/02/2019, 10:30",Pool B,Final
Alabama (B),Truman State,3,13,"03/02/2019, 12:00",Pool B,Final
Indiana (B),Alabama-Huntsville (B),10,8,"03/02/2019, 12:00",Pool B,Final
b,r,e,a,k
brackets,Bracket Play
bracket,3rd Place Bracket
Alabama (B),Georgia Tech (B),0,0,"03/03/2019, 13:00",3rd Place Finals,Cancelled
bracket,5th Place
Illinois (B),Indiana (B),0,0,"03/03/2019, 13:00",5th Place Finals,Cancelled
Illinois (B),Union (Tennessee),15,0,"03/03/2019, 11:00",5th Place Semis,Final
Indiana (B),Alabama-Huntsville (B),12,6,"03/03/2019, 11:00",5th Place Semis,Final
bracket,7th Place
Union (Tennessee),Alabama-Huntsville (B),1,0,"03/03/2019, 13:00",7th Place Finals,Final
bracket,1st Place Bracket
Truman State,Belmont,14,4,"03/03/2019, 13:00",Championship,Final
Truman State,Alabama (B),15,0,"03/03/2019, 11:00",Semis,Final
Georgia Tech (B),Belmont,2,14,"03/03/2019, 11:00",Semis,Final
Union (Tennessee),Alabama (B),10,13,"03/03/2019, 09:00",Quarters,Final
Indiana (B),Georgia Tech (B),6,12,"03/03/2019, 09:00",Quarters,Final
b,r,e,a,k
clusters,Crossover Games
cluster,Crossover Games
Illinois (B),Truman State,4,13,"03/02/2019, 13:30",,Final
Alabama (B),Georgia Tech (B),5,8,"03/02/2019, 13:30",,Final
Belmont,Alabama-Huntsville (B),12,11,"03/02/2019, 13:30",,Final
Union (Tennessee),Indiana (B),10,6,"03/02/2019, 13:30",,Final
b,r,e,a,k
