34th Annual Red Tide Ultimate Clambake,Club - Men ,29,10,2022
South Portland,ME,2022-10-29,2022-10-30
https://play.usaultimate.org/events/34th-Annual-Red-Tide-Ultimate-Clambake/schedule/Men/Club-Men/
Old Fat and Saggy,5
teamInfo,,"Brunswick, Maine",,,
00,Alden Grimes
00,Alex Withers
00,Alexander Roche
00,Andrew Treat
00,Atticus McWhorter
00,Conor McManamy
00,Dylan Sloan
00,Emanuel Coleman
00,Jasper Gordon
00,Jonathan Liesman
00,Joseph Copeland
00,Luke Carberry
00,Noah Keates
00,Rowan Warren
00,Samuel Letcher
00,Taylor Love
00,Tenzin Choezin
00,Tim Miklus
00,Troy Peters
00,Will Savage
09,Phillip Galonsky
b,r,e,a,k
Led Tide 2,4
teamInfo,,"Portland , Maine",,,
 ,Max Hemeon
12,Gaelan Lucey
27,Brody Glidden 
58,Luke Tierney-Trevor
69,Matthew Edmonds
71,Charlie Garvin
99,Daniel  Niles
b,r,e,a,k
Red Tide,1
teamInfo,,"Portland, Maine",https://maineultimate.org/p/red-tide?fbclid=IwAR0bDNru2gankJXHGP3ETZUI78rng5ue4-aPUdGmhDgjlY6sqcg5lmuNHkg,https://www.facebook.com/RedTideUltimate,
 ,James Lehner
 ,Kathryn Snyder
 ,Willy Clemetson
0,Matthew Toothaker
0,Maxwell Karlin
0,Patrick Kelsey
0,James Flynn
0,Jonathan Gilbert
0,Bailey Kirwin
0,Cameron Jack
0,James Arcata
b,r,e,a,k
yEUTH-ANd-Age-SIA,8
teamInfo,,"Amherst, Massachusetts",,,
 ,Brian Barney
 ,Brody Ackor
 ,Eben DeSilva
 ,James Pitts
 ,Lyudmila Pitts
 ,Teddy Hanley
00,Hamza  Shir
b,r,e,a,k
Slugfest,6
teamInfo,,"Boston, Massachusetts",,,
0,Ben Field
0,Brian Cooperman
0,Colby Stoughton
0,Dakota Thompson
0,Daniel McConville
0,Henry Loftus
0,Hobart Yeager
0,Ilya Yudkovich
0,Jason Johnson
0,Liam Henry
0,Lucian Snow
0,Philip Lewis
0,Tim Coppinger
0,Winston Ge
0,Zach Wolfe
12,Richard Dorff
21,Michael Ho
b,r,e,a,k
Harvard,3
teamInfo,Red Line,"Cambridge, Massachusetts",http://www.hcs.harvard.edu/~disc/,https://www.facebook.com/HarvardUltimate,https://twitter.com/HarvardRedLine
 ,Thomas Gustafson
00,William Anderson
00,Zadoc Gee
00,Aaron Berger
00,Adam Park
00,Ben Altschuler
00,Christopher Ruaño
00,Coby Sheehan
00,Cole Salvador
00,Collin Lief
00,Daniel Koenig
00,Elijah Shell
00,Felix Perez Diener
00,Francisco Fernandez
00,Jonah Abrams
00,Julian Li
00,Marc Courtemanche
00,Max Surprenant
00,Mikel  Davies
00,Paz Meyers
b,r,e,a,k
Jerk Factory,2
teamInfo,,"Fredericton, New Brunswick CA",,,
0,Adrien Buote
0,Alex Ho
0,Alex Brewster
0,Alex Downing
0,Alex Scott
0,Calvin O’Neill
0,Djordje Lepir
0,Eric Tremblay
0,Jacob Savoie
0,Joel Beck
0,Jonathan Murray
0,Kieran Valk
0,Leland Morehouse
0,Sam Chambré
0,Seth Porter
b,r,e,a,k
Bowdoin,7
teamInfo,Clown,"Brunswick, Maine",,,https://twitter.com/stoned_clown?lang=en
 ,Homer LaBranche
 ,Mason Winter
 ,Thomas Mazzuchi
10,Collin Tardio
11,Jamie Roan
15,Sawyer Gouldman
17,Cole Fairfield
18,Ian Zogg
19,Kenneth Garcia
19,Philip Spyrou
21,Miles Berry
23,Benjamin Halperin
45,Leonard Mayorga
50,Ilo Holdridge
69,Thomas Hornbeck
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pools
pool,A
Red Tide,Led Tide 2,9,13,"10/22/2022, 09:30",A,Final
Old Fat and Saggy,yEUTH-ANd-Age-SIA,11,9,"10/22/2022, 09:30",A,Final
Red Tide,Old Fat and Saggy,13,12,"10/22/2022, 11:00",A,Final
Led Tide 2,yEUTH-ANd-Age-SIA,13,7,"10/22/2022, 11:00",A,Final
Red Tide,yEUTH-ANd-Age-SIA,12,11,"10/22/2022, 12:30",A,Final
Led Tide 2,Old Fat and Saggy,7,13,"10/22/2022, 12:30",A,Final
pool,B
Jerk Factory,Slugfest,9,13,"10/22/2022, 11:00",B,Final
Harvard,Bowdoin,12,11,"10/22/2022, 11:00",B,Final
Jerk Factory,Bowdoin,13,7,"10/22/2022, 12:30",B,Final
Harvard,Slugfest,5,13,"10/22/2022, 12:30",B,Final
Jerk Factory,Harvard,12,13,"10/22/2022, 14:00",B,Final
Slugfest,Bowdoin,13,6,"10/22/2022, 14:00",B,Final
b,r,e,a,k
brackets,Sunday Lobster Pool
bracket,Lobster Bracket
Old Fat and Saggy,Slugfest,0,0,"10/22/2022, 12:30",First Place,Final
Old Fat and Saggy,Harvard,1,0,"10/22/2022, 11:00",Semis,Final
Slugfest,Led Tide 2,13,11,"10/22/2022, 11:00",Semis,Final
bracket,Placement
Harvard,Led Tide 2,0,0,"10/22/2022, 12:30",3rd Place,Scheduled
b,r,e,a,k
brackets,Sunday Corn Pool
bracket,5th Place
Red Tide,Bowdoin,0,0,"10/23/2022, 11:00",Semis,In Progress
Jerk Factory,yEUTH-ANd-Age-SIA,0,0,"10/23/2022, 11:00",Semis,In Progress
bracket,7th Place
b,r,e,a,k
