Bring The Huckus 12,College - Women ,27,2,2022
"https://play.usaultimate.org/events/Bring-The-Huckus-12/schedule/Women/CollegeWomen/
"
Lehigh,4
0,Abigail Vogel
0,Aimee Teplitskiy
0,Allison Codi
0,Amy Zimmerman
0,Anna Sivinski
0,Ashley Wilhelm
0,Audrey Benson
0,Belle Sullivan
0,Casey Su-Morrill
0,Catherine Spellman
0,Ella Morrissey
0,Elly Labay
0,Emily Cheshire
0,Erin Dillon
0,Hailey Kirkendall
0,Jennifer Fiore
0,Jordyn Pykon 
0,Kaitlyn Moore
0,MacKenzie Lambinus
0,Marta Kasica-Soltan
0,Mia Allen
0,Nora Abbott
0,Sedona Boyle
0,Shoshana Evans
0,Taylor Stanley
b,r,e,a,k
Haverford-Bryn Mawr,2
0,Amy Tse
0,Anna Bingham
0,Audrey Hinsdale
0,Camille Roberts
0,Eleanor Wheeler
0,Ella Evans
0,Jiahan Li
0,Julia Smeltzer
0,Lindsey Hua
0,Mariah Newfont
0,May Courtney
0,Phoebe Hulbert
0,Ruojia Zhang
0,Tova Just
0,Xiaorong Wang
0,Zhao Gu Gammage
0,Zoe Costanza
b,r,e,a,k
SUNY-Geneseo,5
0,Emma Bail
0,Julia Rogerson
0,Kaitlyn Gerstler
0,Katelyn Stancliffe
0,Katie Morgan
0,Lauren Harisis
0,Lila Brown
0,Nora Whorton
0,Olivia Petsos
0,Phoebe Walther
0,Susanna Dolan
0,Tarra Lindsay
0,Madelyn Hill
09,Katelyn Church
16,Allie Judge
17,Kate Flynn
28,Madison  Kieft 
33,Luise Shay
57,Alexandra Flurschutz
b,r,e,a,k
West Chester,1
0,Abigail Goodwin
0,Ashley Goodwin
0,Diana Vu
0,Edna Masic
0,Eliza Bosscher
0,Emma Hamilton
0,Gillian Thomas
0,Hannah Marin
0,Jen Vu
0,Julia Rhoads
0,Kaelyn  Cooper
0,Karis Lawrence 
0,Kelly Loughin
0,Kelsey Swartz
0,Kiley Watson
0,Krista Maurizi
0,Madelyn McCullough
0,Olivia Gingrich
b,r,e,a,k
Boston College,3
0,Abigail Blount
0,Allison Sobieski
0,Cahill Whittier
0,Caitlin Lawrence
0,Caroline Ellerman
0,Caroline Donoghue
0,Caroline Kaplan
0,Erin Doherty
0,Grace Barnhill
0,Kaleigh Bozzo
0,Katerina Orfanos
0,Katherine Nally
0,Katherine Ho
0,Lily Hafez
0,Madeline Palmese
0,Marilyn Perez
0,Marissa D'Antonio
0,Mary Gallagher
0,Natalie Prinz
0,Samantha Schade
b,r,e,a,k
Ithaca,7
 ,Grace Wang
0,Izabella DeVett
0,Josephine Mukamal
0,Katrina Donofrio
0,Alexandra Barrett
0,Alicia Menduni
0,Amelia Myers
0,Brielle Long
0,Ellen Chapman
0,Emily Matrone
0,Emily Mildner
0,Emily Lavoie
0,Emily Altschuler
14,Lydia Lepinski
17,Jaye Kayne
b,r,e,a,k
Swarthmore,6
0,Abel Zeng
0,Alana Ballagh
0,Alexandra  Thomas
0,Annabel Zhao
0,Annie French
0,Asha Bhuiyan
0,Bethany Winters
0,Bethany Bronkema
0,Cynthia Ruimin Shi
0,Eleanor VanRheenen
0,Erin Kaye
0,Isabela Ibrahim
0,Juna Saito
0,Lillian Black
0,Lindsey Turner
0,Lul Sharif
0,Maddie Basil
0,Mia Kwan
0,Natalie Fraser
0,Nora Sweeney
0,Rivers Redclay
0,Sarah Chang
0,Sidhika Tripathee
0,Susannah Broun
b,r,e,a,k
College of New Jersey,8
0,Abby Thurston
0,Amanda Wisniewski
0,Christina Gulotta
0,Kelly Jung
0,Leah Lavender
0,Madison Burke
0,Mansi Bhargava
0,Mary Nugent
0,Miriam Maburi
0,Moira Kellaher
0,Saanya Bhargava
0,Sofia Stepanoff
0,Tanisha Mehrotra
27,Laura Budryk
37,Miruna Baciu
b,r,e,a,k
s,t,a,g,e,s
brackets,Sunday Bracket
bracket,Championship Bracket
Lehigh,Haverford-Bryn Mawr,9,10,"02/27/2022, 13:00",Championship
SUNY-Geneseo,Lehigh,9,10,"02/27/2022, 11:00",Semis
West Chester,Haverford-Bryn Mawr,7,9,"02/27/2022, 11:00",Semis
SUNY-Geneseo,Boston College,9,6,"02/27/2022, 09:00",Quarters
Ithaca,Lehigh,12,13,"02/27/2022, 09:00",Quarters
West Chester,Swarthmore,8,6,"02/27/2022, 09:00",Quarters
College of New Jersey,Haverford-Bryn Mawr,0,15,"02/27/2022, 09:00",Quarters
bracket,5th Place
Boston College,Swarthmore,7,10,"02/27/2022, 13:00",5th Place
Boston College,Ithaca,11,10,"02/27/2022, 11:00",5th Semis
Swarthmore,College of New Jersey,15,2,"02/26/2022, 11:00",5th Semis
bracket,3rd Place
SUNY-Geneseo,West Chester,7,5,"02/27/2022, 13:00",3rd Place
bracket,7th Place
Ithaca,College of New Jersey,11,2,"02/27/2022, 13:00",7th Place
b,r,e,a,k
pools,Pool Play
pool,Pool A
West Chester,SUNY-Geneseo,10,15,"02/26/2022, 11:00",Pool A
Lehigh,College of New Jersey,15,2,"02/26/2022, 11:00",Pool A
West Chester,College of New Jersey,15,2,"02/26/2022, 13:00",Pool A
Lehigh,SUNY-Geneseo,9,8,"02/26/2022, 13:00",Pool A
West Chester,Lehigh,9,4,"02/26/2022, 15:00",Pool A
SUNY-Geneseo,College of New Jersey,15,2,"02/26/2022, 15:00",Pool A
pool,Pool B
Haverford-Bryn Mawr,Swarthmore,12,7,"02/26/2022, 11:00",Pool B
Boston College,Ithaca,12,13,"02/26/2022, 11:00",Pool B
Haverford-Bryn Mawr,Ithaca,11,7,"02/26/2022, 13:00",Pool B
Boston College,Swarthmore,4,15,"02/26/2022, 13:00",Pool B
Haverford-Bryn Mawr,Boston College,15,8,"02/26/2022, 15:00",Pool B
Swarthmore,Ithaca,4,10,"02/26/2022, 15:00",Pool B
b,r,e,a,k
