Huckleberry Flick 2022,College - Women ,5,3,2022
Oxford,OH,2022-03-05,2022-03-06
https://play.usaultimate.org/events/Huckleberry-Flick-2022/schedule/Women/CollegeWomen/
Indiana,1
 ,Jane Hepp
 ,JoLynn Hockemeyer
0,Katelin Werling
0,Katie Hastings
0,Lily Klapper
0,Lucia Walker
0,Savannah Morrall
0,Antonia Daleke
0,Delia Li
0,Evelyn Williams
0,Ali Hotchkiss
14,Alicia Freel
25,Sidney Rosenblum
36,Hallie Schmucker
b,r,e,a,k
Miami (Ohio),2
 ,Abby  Haverkos
0,Alli Protos
0,Allie Slaw
0,Amaya Mix
0,Bianca  Leon
0,Brandi Borkosky
0,Breanna Gerogosian
0,Brianna Rodriguez
0,Caroline Cilley
0,Claire Helsel
0,Claire Meyer
0,Emma Bell
0,Faith Cayia
0,Grace Olczak
0,Julia Marie Albesa
0,Katie Manwaring
0,KinAng Teow
0,Kristen Hackiewicz
0,Laura Polanka
0,Laura Madigan
0,Marissa Howard
0,Mia Anzilotti
0,Morgan Staton
0,Nicole Bauer
0,Nicole Zimmer
0,Nina Stahr
0,Patricia Lennon
0,Sofia Dwyer
b,r,e,a,k
Dayton,3
 ,Lucy Kuempel
0,Lucia Aldave
01,Renee Finan
02,Megan Neaf
12,Clarissa Strother
13,Sarah McDonald
14,Jane Carney
15,Nieka deNeve
16,Anna Brach
18,Molly Frei
19,Haley Rodeffer
21,Grace Silverberg
31,Julia Lindenschmidt
33,Jamie  Burenga
38,Emilia Porter
45,Emily Dillon
47,Jackie Sapienza
51,Nina Vaccaro
88,Johanna Nuwer
b,r,e,a,k
Wooster,4
 ,Libbie DePastino
0,Lilly Hinkley
0,Lily Bulman
0,Alexa Michael
0,Grace Schneider
0,Grace Braver
0,Katherine Shue
b,r,e,a,k
s,t,a,g,e,s
pools,Day 1
pool,Pool 1
Indiana,Dayton,5,10,"03/05/2022, 09:00",Pool 1,Scheduled
Miami (Ohio),Wooster,8,6,"03/05/2022, 09:00",Pool 1,Scheduled
Indiana,Wooster,13,4,"03/05/2022, 10:40",Pool 1,Scheduled
Miami (Ohio),Dayton,2,9,"03/05/2022, 10:40",Pool 1,Scheduled
Indiana,Miami (Ohio),6,3,"03/05/2022, 12:20",Pool 1,Scheduled
Dayton,Wooster,8,1,"03/05/2022, 12:20",Pool 1,Scheduled
b,r,e,a,k
pools,Day 2
pool,Pool B
Miami (Ohio),Dayton,1,11,"03/06/2022, 09:00",Pool B,Scheduled
Indiana,Dayton,7,9,"03/06/2022, 10:40",Pool B,Scheduled
Indiana,Miami (Ohio),9,1,"03/06/2022, 12:20",Pool B,Scheduled
b,r,e,a,k
