2023 USA Ultimate Northwest Grand Masters Men's  Regionals,Grand Masters - Men ,3,6,2023
Lacey,WA,2023-06-03,2023-06-04
https://play.usaultimate.org/events/2023-USA-Ultimate-Northwest-Grand-Masters-Mens--Regionals/schedule/Men/grand-masters-men/
TOAST GM,1
teamInfo,,"Calgary, Alberta CA",,,
0,Alex Bush
0,Corey Mckenelley
0,Davy Labardisse
0,Eko Wangsawidjaya
0,JEREMY HEBERT
0,Ken Su
0,Sean Phillips
0,Stephan Wiebe
0,STEPHEN WINTERS
0,Sterling Doster
0,TIM VINES
4,Kevin Walton
5,Josh Zylstra
7,Matthew Bourque
13,Ian Buckley
19,Nathan Paziuk
31,Jason Fuller
77,Matt Lynch
82,"Jose ""Zeca"" Soares"
95,Eugene Wong
b,r,e,a,k
Peralta,4
teamInfo,,"Seattle, Washington",,,
06,Tim Warden-Hertz
07,John Ryan
13,Craig Black
15,Dolan Leung
19,Dallin Allred
27,Brandon Smock
32,ARIEL DOS SANTOS
38,Thomas Rowland
39,Joe Cater
40,Denis Blount
41,CARLOS D'AVIS
42,Kevin Phillips
52,William Whitwell Bailey
77,Rob Katz
88,Ryan Daudistel
89,Rusty Brown
97,Jason Schissel
97,Daniel Macklin
98,Dan Eriksen
99,Dan Hostetler
b,r,e,a,k
Bburnside 40,5
teamInfo,,"portland, Oregon",https://www.marxists.org/archive/marx/works/1867-c1/,,@burnsideulti
0,Aaron Dobson
0,Bill Freeman
0,Brendan Wong
0,David Conlon
0,Jeffrey Hsu
0,Jeremy Forrest
0,Joe Kleffner
0,John Russell
0,Justin Wilkes
0,Justin Cole
0,Keith Bucher
0,Kevin Stout
0,Matt Ryan
0,Michael Freels
0,Michael Baysinger
0,Mike Payne
0,MILES KUSCH
0,Seth Merritt
0,Terry Cussen
0,Xi Xia
5,Markus Brown
7,Brian Kennett
13,Kellen Russell
15,John Thornton
22,Brian Stout
23,Samuel Charles Tsen
44,Kyle Christoph
81,Robert Staniforth
b,r,e,a,k
Bull,2
teamInfo,,"Anchorage, Seattle, Utah, Portland, Idaho, Bethel, California, Austin, Alaska",,,
0,Aaron Salazar
0,Alfonso Cairo
0,Brian Tripoli
0,Brian Lefferts
0,Charlie Johnson
0,Christopher Hall
0,Dallin Bird
0,David Emmett-Hulet
0,David Soper
0,George Voellinger
0,Jerin Yu
0,Loren Majersik
0,Matt Cragun
0,Mike Holt
0,Robert Bochenek
0,Scott Thomas
0,Tyler Holzer
13,John Gregoire
14,Lee Jensen
21,Richard Wilcox
95,Travis Peters
b,r,e,a,k
burnside  40,3
teamInfo,,"pdx, Oregon",,,
0,Alan Armstrong
0,Calvin Lin
0,Christopher Knox
0,FREELAND CHURCH
0,Jared Moody
0,Jesse Putnam
0,Jesse King
0,Joachim Schalk
0,Jonathan Young
0,Mark Kilmer
0,Nicholas Papaefthimiou
0,Noah Carolan
0,Ronald Dolen
0,Ryan Wilder
0,Troy Unverdruss
7,John King
15,Thad Blank
22,Schuyler Ellis
99,Jeremy James
b,r,e,a,k
Kalakala,6
teamInfo,,"Seattle, Washington",,,
0,Brian Benjamin
01,Benjamin Wiggins
02,Douglas Kawasaki
03,Dave Zucker
04,Aaron Richards
09,David Ignacio
10,Joshua Lang
11,Michael Berkenwald
12,Justin Deng
14,Sam Chatterton-Kirchmeier
17,David Lott
18,Charlie Ellis
21,David Bestock
23,Ian Buchanan
25,Adam Simon
28,Jimmy Chu
29,Gary Owen
30,Taesan Hose
36,Charles Reis
43,Aldan Shank
43,Jon Ladd
55,Eric Feise
84,Arnold Larson
84,Ted McClure
96,Rhetick Sengupta
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pools
pool,Pool A
Peralta,Bburnside 40,0,0,"06/03/2023, 10:00",Pool A,Scheduled
TOAST GM,Bburnside 40,0,0,"06/03/2023, 12:00",Pool A,Scheduled
TOAST GM,Peralta,0,0,"06/03/2023, 14:00",Pool A,Scheduled
pool,Pool B
burnside  40,Kalakala,0,0,"06/03/2023, 10:00",Pool B,Scheduled
Bull,Kalakala,0,0,"06/03/2023, 12:00",Pool B,Scheduled
Bull,burnside  40,0,0,"06/03/2023, 14:00",Pool B,Scheduled
b,r,e,a,k
brackets,Sunday Qualifying
bracket,Qualifier 1
b,r,e,a,k
