New England Open,College - Women ,25,3,2023
Rehoboth (South Shore of Boston/Providence),MA,2023-03-25,2023-03-26
https://play.usaultimate.org/events/New-England-Open1/schedule/Women/CollegeWomen/
SUNY-Binghamton,1
teamInfo,Big Bear ,"Binghamton , New York",https://bigbearultimate.wordpress.com/,https://www.facebook.com/binghamtonultimate/,
0,Emily Cook
0,Emily Serrano
0,Julia Heidt
0,Lauren Marshall
0,Madeline Carter
0,Chaya Spokony
0,Samantha Coulton
5,Melissa Torchio
8,Piper Van Kerkhove
10,Danielle Dattler
11,Sari Mamiye
18,Arianna Edwards
21,Faith Summers
21,Susan Zheng
24,Jolie Krebs
25,Ancilla Marie Inocencio
30,Anna Purtell
34,Ava Champitto
47,Sarah Bases
b,r,e,a,k
Connecticut,4
teamInfo,UConn Rise,"Storrs, Connecticut",,,
coaches,Keith Raynor
0,Anna Abou-Francis
0,Carley Parente
0,Carmen Lo
0,Celia Labbate
0,Celina Daigle
0,Elizabeth Doyle
0,Elizabeth Garten
0,Evelyn Walker
0,Grace Wanderling
0,Hyunah Boo
0,Isabella Rubin
0,Izadora Yarnall
0,Jenna Gall
0,Juliana Rush
0,Kayla Pollman
0,Allyson Kaider
0,Amanda Sagers
0,Nadya Ponthempilly
0,Rachel Murphy
0,Sofia Soriano
3,Sabine Lucas
13,Amelia Colombo
22,Melissa Tian
b,r,e,a,k
Boston University,5
teamInfo,Uprising A,"Boston, Massachusetts",,,
coaches,Sam Farnsworth
0,Abigail Li
0,Audrey Cantillon
0,Ava Robertson
0,Dasha Smolina
0,Eliana Bortman
0,Kiran Gomatam
0,Margaret Hook
0,Maya David
0,Sage Fuller
0,Sophie Bodine
0,Valeria Orellana
18,Libby Sweitzer
99,Beverly Liu
b,r,e,a,k
Brandeis,8
teamInfo,Banshee,"Waltham, Massachusetts",,,https://twitter.com/BansheeUltimate
05,Savannah Johnson
08,Sydney Charron
12,Grace Newton
14,Maya Levisohn
15,Sophia  Denaro
16,Mirra Blehert
18,Eva Arfa
23,Aviva Weinstein
26,Maytal Bach
28,Nina Zhang
33,Ella Messler
34,Natasha Girshin
36,Sofia Cohen
39,Laurie Chen
42,Hedy Yang
50,Chen Sang
53,Dina Ocken
64,Agatha  Edwards
88,Yunrui Li
97,Ming Tam
98,Eliana Ruben
b,r,e,a,k
Bowdoin,9
teamInfo,Chaos Theory,"Brunswick, Maine",,,@Chaos_the0ry
coaches,Emma DeMelim
0,Caitlin Panicker
0,Chelsea Moody
0,Deva Holliman
0,Julia Starck
0,Magdalena Escudero-Kane
0,Marianna Zingone
0,Mary Henthorn
0,Tali Serlin
0,Tess Mooney 
12,Lily  Fanburg
15,Zoe Peterson
b,r,e,a,k
Wellesley,2
teamInfo,Whiptails,"Wellesley, Massachusetts",https://sites.google.com/wellesley.edu/wellesleywhiptails/home,,https://twitter.com/thewholedamnbus
0,Aurora Daniel
0,Barbara Dolan
0,Bella Steedly
0,Danika Lee Heaney
0,Emma Feldman
0,Kali Bate
0,Kiki Chen
0,Kira Romberg
0,Krishangi Dandapure
0,Leah Black
38,Annika Wolberg
39,Elysia Nitsch
46,Ella McHugh
99,Raquel Alegria
b,r,e,a,k
Mount Holyoke,3
teamInfo,Daisy Chain,"South Hadley, Massachusetts",,https://www.facebook.com/mhcult,https://twitter.com/mhcdaisychain
coaches,Kate Powers,Paige Howell
0,Amelia Zamonski
0,Audrey Brogna
0,Bridget McBride
0,Celine Falcon-Geist
0,Charlotte Moynihan
0,Eliza Williams-Derry
0,Elspeth Howland
0,Emma St. John
0,Gabrielle Perry
0,Gigi Downey
0,Grace Mitchell
0,Hjordis Aho
0,Jamie  Eldridge 
0,Kyra Sanborn-Burch
0,Lara Gao
0,Madelyn McAlexander
0,Mamie Mulder
0,Molly Potts
0,Olive Rowell
0,Reece Liu
0,Saira Sukthankar 
0,Silvie Schlein
0,Siyi Zhu
33,Rossi Wang
b,r,e,a,k
Harvard,6
teamInfo,Quasar,"Cambridge, Massachusetts",https://sites.google.com/view/harvard-womens-ultimate-team/home?pli=1,,https://twitter.com/QuasarUltimate
03,Sirui Cai
04,Nadine Meister
07,Kate Griem
09,Isabel Musselman
10,Isabel Laguarda
11,Emma Salafsky
14,Eliza Knapp
15,Lydia Qin
17,Angelina Ng
18,Kylie Simms
22,Eva Mammen
24,Iris Yan
44,Bailey Plaman
47,Azzurra Opperman
79,Jocelyn Hsieh
88,Maren Wong
99,Yaying Liang Li
b,r,e,a,k
Amherst,7
