Presidents Day Qualifier,College - Men ,21,1,2023
San Luis Obispo,CA,"Jan 21, 2023","Jan 22, 2023"
https://play.usaultimate.org/events/Presidents-Day-Qualifier/schedule/Men/CollegeMen/
California-Santa Cruz,1
0,Andrew Grosso
0,Blake Sanchez
0,Devin Acuna
0,Ethan Kleinman
0,Ethan Rogers
0,Gang Xu
0,Kien Warren
0,Liam Jay
0,Selim Jones
0,Toby Warren
0,William Snyder
0,William Walby
0,Milan Moslehi
0,Noah Chang-Linenberg
1,Charlie Jia
3,Xaul  Starr
4,Louis Loduha
9,Dylan Burns
12,Davin Sieu
21,Benjamin Pratt
24,Aaron Mercado
26,Zack Renick
27,Samuel Kaplan
44,Aidin Terris
71,Aidan Curry
77,Mario Ambrose
b,r,e,a,k
California-San Diego (B),5
0,Aahil Keshwani
0,Aakash Davasam
0,Aidan Reedy-Schneider
0,Andy Huang
0,Arda Gurel
0,Connor Wu
0,Dylan Habecker
0,Eric Tran
0,Ethan Wang
0,Gang Yang
0,Garrett Gonta
0,Haven Lo
0,Hongyu Mu
0,Jared Jose
0,Jason Kovalsky
0,Jun Bo Lau
0,Kyle Rich
0,Leo Joseph
0,Mark Gulian
0,Matthew Victoria
0,Matthew Cunanan
0,Matthew DaCosta
0,Melesio Huizar
0,Mouhammed Badrani
0,Rigo Batiancila
0,Rohith Mahalikudi Radhakrishnan
0,Ryan Piette
0,Stanislaw Strzelecki
0,Steven Ramirez
0,Thomas Frisch
0,Vedanth Talla
0,Zyan Jacka
87,Ryan Trinh
b,r,e,a,k
California-Irvine,4
0,Paolo Brinas
0,Trevor Walker
2,Bingqian Pan
8,Neel Gore
10,Ernesto  Balcazar
12,Shun Iwata
14,Joel Akiyoshi
15,Zach Howell
20,Joshua Faith
22,George Higgins
23,Jinfu Niu
25,Tomas Fong
28,Nathan Leslie
33,Michael Cazarez
36,Cheng-Yu Liu
55,Spencer Sih
60,Arnav Sareen
69,Kobi McCracken
77,Peifeng Wang
b,r,e,a,k
California-Santa Barbara (B),8
0,Ethan Kim
0,Ethan Castelazo
0,Finn Buggy
0,Haiyun Huang
0,Haotian Ji
0,Harry Pardoe
0,Jack Solano
0,Jake Bechtel
0,JASON HALLSTEN
0,Jonathan Osband
0,Josh Beckner
0,Luke Winter
0,Nathan Green
0,Niko Gustafson
0,Aaron Jue-Sans
0,Ali Bozatli
0,Ben Hertzberg
0,Ben MacDonald
0,Robbie Silver
0,Roberto Nunez
0,Ruiyang Cheng
0,Tomas Spencer
0,William Greenwald
0,Zachary Hager
2,Owen Finney
30,Daniel Li
b,r,e,a,k
California-Santa Cruz (B),9
0,Daniel Perlov
0,Eetai Shwartz
0,Jackson Friday
0,Jaisuraj Kaleeswaran
0,Jason Bruni
0,Joe Colonius
0,Joseph Donovan
0,Joseph Finklang
0,Milo Ridenour
0,Peter Van Esch
0,Ryan Chapman
0,Ryan Nelson
0,Shane Stearns
0,Thomas Paff
75,Bodie Shargel
89,Zane Smith
b,r,e,a,k
Cal Poly-SLO (B),3
0,Brandon Howell
0,Caleb Rosen
0,Drew Larson
0,Garrett Kunkler
0,Joshua Hutchinson
0,Kieran Collins
0,Luca Perri
0,Matthew Lu
0,Quintan Davis
0,Zach Kwast
1,Jack Toyama
2,Alec Gibbs
3,Paul Nassar
12,Ethan Nikcevich
16,Zachary Wallpe
20,Josh Hall
26,Cole Aymond
27,Landon Block
28,Wyatt Barnes
69,Ryan Porch
70,Aleksandr Breit
99,Owen Peay
b,r,e,a,k
California-Davis,2
0,Aaron Li
0,Aidan McKelvey
0,Alexandro Murillo
0,Cooper Bass
0,Julian Korchin
0,Kaden Brownie
