Queen City Tune Up,College - Women ,11,2,2023
Rock Hill,SC,2023-02-11,2023-02-12
https://play.usaultimate.org/events/Queen-City-Tune-Up1/schedule/Women/CollegeWomen/
North Carolina,1
teamInfo,Pleiades,"Chapel Hill, North Carolina",http://www.uncpleiades.com,https://www.facebook.com/unc.pleiades/,https://twitter.com/UNC_Pleiades/
coaches,Jessica Jones,Anne Worth,Mary Rippe
0,Abigail Stevens
0,Allison Reilly
0,Caroline Spencer
0,Catherine Fradenburg
0,Dhara Buebel
0,Ella Juengst
0,Emily Benson-Tyler
0,Emily Przykucki
0,Erica Birdsong
0,Isabel Myers-Miller
0,Kailyn Lowder
0,Mary Plaehn
0,Rachel Gordon
0,Sarah Combs
0,Selena Kleber
0,Sonia Rao
0,Sydney Rehder
0,Theresa Yu
2,Alexandra Evans
6,Claudia Dare
11,Dawn Culton
25,Rachel Yao
34,Alexandra Barnett
38,Jessica Wu
54,Alex Hecht
b,r,e,a,k
Minnesota,9
teamInfo,Matrix,"Minneapolis, Minnesota",,,
coaches,Carlos Lopez,Matt Zumbrum,Emma Peaslee
03,Alison Roston
05,Chelsea Semper
07,Emily Yoon
09,Kiersten Lee
13,Esther Gendler
15,Alexis Trousil
18,Nouchee  Xiong
19,Isabel Demo
22,Lara Newton
24,Rhea Joshi
25,Olivia Lagos
39,Allison Trapani
42,Carrie Coyer
87,Abby Wick
88,Madison  Deile
b,r,e,a,k
Notre Dame,16
teamInfo,Echo,"Notre Dame, Indiana",http://ndultimate.wordpress.com/,,https://twitter.com/ndultimate
0,Anna Heger
0,Anna Wagner
0,Carolina Bolivar
0,Catherine Heidenreich
0,Claire Hackl
0,Elena Dansdill
0,Elizabeth Jarocki
0,Erin Goldman
0,Isabella Weiner
0,Jess Joyce
0,Liliana Hobday
0,Macie Anundson
0,Madeline Holl
0,Mary Menger
0,Megan Klein
0,Monica Caponigro
0,Nalani Malackowski
0,Pailyn Groene
0,Sydney Herczeg
3,Emma Baran
b,r,e,a,k
William & Mary,17
teamInfo,Cypress,"Williamsburg, Virginia",,,https://twitter.com/WMultimateW
coaches,Christopher Monahan
0,Coral Rankin
0,Haley Yingling
0,Katherine O'Neill
0,Lily Knechtle
0,Meredith Weiner
0,Reese O'Brien
0,Sarah O'Reilly
7,Catherine Grossman
8,Ryleigh  Tibbetts
9,Cassie Harris
13,Jasmine Taylor
13,Sabra Ellison
16,Sally Calengor
17,Alyssa  Wright
28,Chloe Lund
53,Katherine Marston
67,Rachel McGraw
85,Isabella DiFulvio
93,Julia Wine
b,r,e,a,k
Florida State,8
teamInfo,Seminole Ladies,"Tallahassee, Florida",http://seminoleladies.wixsite.com/fsultimate,https://www.facebook.com/SeminoleLadies,https://twitter.com/seminoleladies
0,Abigail Lowrimore
0,Annika Daniels
0,Ashlyn O'Connor
0,Brianna Coia
0,Calla Michetti
0,Camryn Curvey
0,Daryn Sagel
0,Erin Swabek
0,Jenna Prunty
0,Lily Gullett
0,Marissa Goss
0,Mary Broling
0,Sam  Snell
0,Tess O'Donnell
0,Zoe Ford
11,Lauren Kirschner
26,Hannah Grimes
69,Catherine  Fidd
b,r,e,a,k
Vermont,2
teamInfo,Ruckus,"Burlington , Vermont",,https://www.facebook.com/UVMRuckus/,https://twitter.com/ruckusultimate
coaches,Daron Byerly
0,Ashley Schlinger
0,Dylan Wilcox
0,Isabel Berman
0,Lauren Clayter
0,Mae Browning
2,Lucinda Toppen
