2024 USA Ultimate Northwest Masters Men's Regionals (NW/SW Super Regional),Masters - Men ,8,6,2024
Corvallis,OR,2024-06-08,2024-06-09
https://play.usaultimate.org/events/2024-USA-Ultimate-Northwest-Masters-Mens-Regionals-NWSW-Super-Regional/schedule/Men/Masters-Men/
Voltron2020,1
teamInfo,,"Seattle, Washington",,,https://twitter.com/voltron2020
0,Andrew Hagen
0,Chris Rupp
0,Christian Foster
0,Clay Dewey-Valentine
0,Jacob Speidel
0,Jason Yun
0,Jeremy Norden
0,Julian Hausman
0,Mario O'Brien
0,Matthew Rehder
0,Morgan Hibbert
0,Nick Stuart
0,Riley Meinershagen
0,Sam Harkness
0,Simon Montague
1,Timothy Gehret
4,Tanner Halkyard
6,Phil Murray
7,Jason (Jay) Clark
9,Tom Doi
15,Michael Spear
23,Danny Karlinsky
24,Craig Harkey
25,Will Chen
32,Steven Mogielski
53,Eli Friedman
77,Sam Pickel
b,r,e,a,k
BART,5
teamInfo,,"Bay Area, California",,,
0,Brandon Fein
0,Brenton Kimmi
0,Bryant Wolf
0,Aaron Leung
0,Geoff Rexroth
0,Jacob Serrano
0,Jake Rifkin
0,Jeremy Kharrazi
0,Michael Denevan
0,Nick Buccelli
0,Riley O'Neill
0,Simone Stolzoff
0,Skylohr Taylor
0,Spencer Herrick
0,Tom Murphy
0,Justin Hinman
4,Victor Smith
5,Matthew Crawford
7,Robert Srinivasiah
11,Zachary Bruno
11,Karl Frazier
12,David Langhals
14,Dan  Greeley
17,Chris Godek
24,Andrew Riggs
55,Tyler Condit
64,Marcello Molinaro
86,Jordan Seaberg
b,r,e,a,k
Oregon Donors,7
teamInfo,,"Eugene, Oregon",,,
0,David Pete
01,Nam Vo
02,Dylan Darling
03,John Cairns
03,Shane Mount-Rubenfeld
05,Thad Arnold
06,Chris Watkins
07,Kyle Hancock
08,Daniel Walling
11,Alex Howard
13,Neil Newsome
14,Gerald Aggrey
15,Jonathan Beavers
15,Kyle Blaeuer
16,Derek Seymour
