2025 Oregon Men's Sectional Championship,Club - Men ,6,9,2025
Corvallis,OR,2025-09-06,2025-09-07
http://play.usaultimate.org/events/2025-Oregon-Mens-Sectional-Championship/schedule/Men/Club-Men/
Dark Star,1
teamInfo,,"Eugene, Oregon",http://www.darkstarultimate.com,,https://twitter.com/eugenedarkstar
0,David Barram
0,Elias Casper
0,Emmett Warner
0,Jackson Heglie
0,James Palmiter
0,Jason Simms
0,Julian Saunt
0,Julian Reeves
0,Kaenan Combs
0,Alex Howard
0,Ben Thoennes
0,Braedon Petrus
0,Mason  Weybright
0,Vaughn Dillender-Kinast
0,Will Dillender-Kinast
3,Seiji Koenigsberg
4,Scott Radlauer
6,Conner Stillwell
12,Dan Baumgartner
13,Callahan Bosworth
14,Nicholas Cao
18,Zac Scheuerman
23,Archer Gordon
28,Kyle Hancock
62,Quinn Buermeyer
78,Oliver Hughes
b,r,e,a,k
Portland TremOR,2
teamInfo,,"Portland, Oregon",,,
0,Chad McCormick
0,Cole Eustis
0,Everett O'Leary
0,Gavin Gee
0,Isaac Blumklotz
0,David Pearce
0,Elliot Brandt
0,Joel Soltman
0,Micah Harter
0,Michael Wise
0,Miles Renbarger
0,Owen Poissant
0,Samuel Harrington
0,Zach Heiden
1,Nathaniel Griffith
2,Jack Nelson
2,Tyler MacMaster
7,Evan Mack
11,Jonah Talmadge
11,Connor Klitgaard
42,Quinn Alaeddine
51,Charlie DeKlotz
67,Matt Rix
81,Ryan Wolfe
82,Lucas Henry
b,r,e,a,k
Junco,3
teamInfo,,"Portland, Oregon",https://www.instagram.com/portlandjunco/,,https://x.com/flocked_in
0,Jack Hochberg
0,Leo Finley
0,Mattia Cassell
0,Peter Huizenga
0,Ryan Schluter
5,Logan Chantelois
19,Owen Heh
24,Nam Vo
31,William Beck
32,Hal Robinson
34,Sam Gordon-Koven
91,Little Dipper
b,r,e,a,k
s,t,a,g,e,s
pools,Round Robin
pool,Pool A
Dark Star,Junco,0,0,"09/06/2025, 10:00",Pool A,Scheduled
Portland TremOR,Junco,0,0,"09/06/2025, 12:00",Pool A,Scheduled
Dark Star,Portland TremOR,0,0,"09/06/2025, 14:00",Pool A,Scheduled
b,r,e,a,k
