Mardi Gras XXXVII,College - Men ,22,2,2025
Baton Rouge,LA,2025-02-22,2025-02-23
https://play.usaultimate.org/events/Mardi-Gras-XXXVII/schedule/Men/CollegeMen/
Florida State,8
teamInfo,DUF,"Tallahassee, Florida",,https://www.facebook.com/FSUltimate,https://twitter.com/DUFtrainroll
0,Edward Bou
0,Emilio  Torres 
0,Evan Thompson
0,Fabrizio Gowdy
0,Jack Kelly
0,Jacob Bou
0,Justin Wright
0,London Williams
0,Pierce Toupin
0,Robert Frost
0,Thomas Lewis
0,Ulysses Ellis
4,Evan Baker
5,Dominic Pawlusiak
7,Owen Peronto
8,Nicolai Riekerk
10,Trevor Janik
11,Colton Turner 
12,Michael Berg
17,Sam Swartz
19,Bodie Cole
26,Scott Sakow
88,Benjamin Watson
b,r,e,a,k
LSU,9
teamInfo,Purple Haze,"Baton Rouge, Louisiana",,,https://twitter.com/LSUUltimateM
coaches,Chas Legge
0,Stephen Abel
0,Dylan Duhamel
0,Grant Rebowe
0,Macailen Davis
0,Jonah Stagg
0,Travis Haworth
0,Tristan Thompson
0,Nick Nola
0,Ahmari Collins
0,Andrew Modenbach
0,Chase Thompson
0,Ethan Vu
0,Connor Ventola
0,Andrew Reviere
0,Scott Kline
1,Ryan Ripley
3,Saif Ahmed
4,Hobbs McAllister
8,kade cannizaro
11,Collin Casseri
12,Daniel Carter
20,Charles Gordon
66,Jaylon Boone
99,Caleb Franklin
b,r,e,a,k
Alabama,5
teamInfo,Yellow Hammer,"Tuscaloosa, Alabama",alabamaultimate.wordpress.com,https://www.facebook.com/AlabamaUltimate/,twitter.com/bama_ultimate
0,Arden Markin
0,Benjamin Forton
0,Brady Grogan
0,Christopher Sullivan
0,David Hunt
0,Drew Anderson
0,Jackson Whitlow
0,Justin Weaver
0,Lachlan Campbell
0,Thomas Cagle
0,Thomas Reed
0,Timothy Sullivan IV
0,John Prendergast
0,Joshua Scheuer Haeker
0,William Nash
3,William Hagan
7,Jacob Ham
8,Logan Ashwell
8,Alex Brown
9,Sam Pilgreen
14,Jack Libby
64,Conley Brooks
84,Joshua Lewis
95,Zachary Powers
b,r,e,a,k
Georgia Southern,12
teamInfo,Eagles,"Statesboro, GA, Georgia",https://gasouthernultimate.wixsite.com/mens,,https://twitter.com/GASo_Ultimate
0,Aaron Wynn
0,Blake Bakaric
0,Charles Salmons
0,Chris Armstrong
0,Christopher Scalzi
0,Chuck Jackson
0,Cooper Griffis
0,Ethan Ness
0,Gabriel  Zwicker 
0,Jack Murray
0,James Everly
0,Josh Tuttle
0,Kyle Brewer
0,Nalynn Pathomkrut
0,Nathaniel Shirley
0,Nicholas Bragg
0,Ryan Smith
0,Thomas Clennan
0,Tyler  Coffman
43,Riley Hughes
99,Hayden Edwards
b,r,e,a,k
Mississippi State,6
teamInfo,Dark Horse,"Starkville, Mississippi",https://instagram.com/msudarkhorse?igshid=MzMyNGUyNmU2YQ%3D%3D&utm_source=qr,https://www.facebook.com/pages/MSU-Mens-Ultimate-Club/109943542442587?ref=hl,https://twitter.com/HailStateUlt
9,Abe Young
01,Will Kalahar
10,Dawson Archer
14,James Tindell
15,William Clark
16,Madison Glidewell
17,Joshua Hamann
19,Jordan Jaucian
24,Zachary Crane
27,Bastian Tully
29,Noah Carpenter
31,Grant Houston
33,Drew Laird
35,Noah Probst
45,Jeremy Baxter
47,Dawson Johns
77,Jackson Thomas
78,Barnes Lowry
b,r,e,a,k
South Florida,11
teamInfo,Scallywags,"Tampa, Florida",,https://facebook.com/usfultimate,https://twitter.com/MUltClubUSF
0,Jason Guerrero
0,Joshua Webb
0,Justin Montalbano
0,Kenan Tucker
0,Krishna Chundi
0,Luka Zrnich
0,Maxwell Twitmyer
0,Nicholas Kovacs
0,Preston Mash
0,Rhandy Jean-Paul
0,Ryland Kane
0,Aidyn Rosochowicz
0,Bryce Stalter
0,Ian Tsubooka
0,Ian Filippi
0,Isaac  Bird
0,Taylor Beron
0,Tri Do
0,Troy Guinther
4,Stephen Maggio
13,Isaiah Garcia
13,Jamal Taylor
42,Godlove Nkembo
77,Adam Costello
88,Ian James
b,r,e,a,k
Colorado (B),7
teamInfo,CUCU,"Denver, Colorado",,,
0,Andrew Swanson
0,Daniel Lepsch
0,Danny Nguyen
0,Elijah Beard
0,Evan Callahan
0,Kaeden Batz
0,Loïc Masters
0,Noah Sentnor
0,Oscar Lechner
0,Owen Wolford
0,Paul Masters
0,Quincy Roy
0,Simon Alaimo
0,Will Storey
2,Schuyler Houston
5,Henry Wattson
10,Blake Musfeldt
11,Chris Doan
13,Beck Buskirk
17,Justyn Bunkley
26,Creighton Tisdale
27,Tate Voeller
40,Abram Yehle
50,Utkarsh Mandavilli
62,Leo Gold
91,Elliot Frank
b,r,e,a,k
Tennessee-Chattanooga,10
teamInfo,Swamp Donkeys,"Chattanooga, Tennessee",,https://www.facebook.com/pages/UTC-Ultimate-Frisbee/688460324541637,https://twitter.com/UTCSwamp
0,Christian Strom
0,Luke  Speyrer
0,Michael Novarese 
0,Riley Rickstrew
1,Sterling Grant
2,Pryce Bevins
