Golden Triangle Women's Open,College - Women ,11,4,2026
Kaysville,UT,2026-04-11,2026-04-12
https://play.usaultimate.org/events/Big-Sky-D-I-Womens-Conferences-2026/schedule/Women/CollegeWomen/
Tennessee,1
teamInfo,,,,,
b,r,e,a,k
Vanderbilt,6
teamInfo,,,,,
b,r,e,a,k
Berry,3
teamInfo,,,,,
b,r,e,a,k
Mississippi State,7
teamInfo,,,,,
b,r,e,a,k
Georgia (B),5
teamInfo,,,,,
b,r,e,a,k
Iowa State,2
teamInfo,,,,,
b,r,e,a,k
Tennessee-Chattanooga,4
teamInfo,,,,,
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Tennessee,Vanderbilt,13,4,"02/14/2026, 09:00",Pool A,Final
Berry,Mississippi State,12,6,"02/14/2026, 09:00",Pool A,Final
Tennessee,Mississippi State,13,3,"02/14/2026, 10:45",Pool A,Final
Berry,Vanderbilt,7,13,"02/14/2026, 10:45",Pool A,Final
Tennessee,Berry,13,3,"02/14/2026, 12:30",Pool A,Final
Vanderbilt,Mississippi State,13,0,"02/14/2026, 12:30",Pool A,Final
pool,Pool B
Tennessee-Chattanooga,Georgia (B),4,13,"02/14/2026, 09:00",Pool B,Final
Iowa State,Georgia (B),7,10,"02/14/2026, 10:45",Pool B,Final
Iowa State,Tennessee-Chattanooga,10,9,"02/14/2026, 12:30",Pool B,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
Tennessee,Vanderbilt,13,0,"02/15/2026, 09:45",Championship Game,Final
Tennessee,Iowa State,13,3,"02/15/2026, 08:00",Semifinals,Final
Georgia (B),Vanderbilt,7,10,"02/15/2026, 08:00",Semifinals,Final
Iowa State,Berry,13,5,"02/14/2026, 14:15",Quarterfinals,Final
Georgia (B),Mississippi State,13,1,"02/14/2026, 14:15",Quarterfinals,Final
Vanderbilt,Tennessee-Chattanooga,10,7,"02/14/2026, 14:15",Quarterfinals,Final
bracket,3rd Place
Iowa State,Georgia (B),0,1,"02/15/2026, 09:45",3rd Place Game,Final
b,r,e,a,k
pools,Consolation Pool
pool,Pool C
Mississippi State,Tennessee-Chattanooga,3,13,"02/15/2026, 08:00",Pool C,Final
Berry,Tennessee-Chattanooga,10,4,"02/15/2026, 09:45",Pool C,Final
Berry,Mississippi State,W,F,"02/15/2026, 11:30",Pool C,Final
b,r,e,a,k
