Atlantic Coast Open 2026,College - Men ,21,2,2026
Baton Rouge,LA,2026-02-21,2026-02-22
https://play.usaultimate.org/events/Mardi-Gras-XXXVIII/schedule/Women/CollegeWomen/
Carleton College-CHOP,1
teamInfo,,,,,
b,r,e,a,k
Delaware,7
teamInfo,Sideshow,"Newark, Delaware",,,
coaches,James Henderson
0,Albert Capodanno
0,Alexander Grega
0,Charlie Giannone
0,Collin Beaman
0,Dan Kelner
0,Gabriel Resto
0,Hayden Land
0,Ian Sinclair
0,Jeffrey Rabinowitz
0,Joseph Lenzo
0,Josh Rudy
0,Joshua Geddes
0,Mark Polin
0,Patrick Duffy
0,Trajan Kump
0,Tucker Stevens
0,William  Everett
0,Zachary Brooks
24,John Cleaver
b,r,e,a,k
Richmond,9
teamInfo,,,,,
b,r,e,a,k
Virginia Tech,2
teamInfo,,,,,
b,r,e,a,k
Syracuse,8
teamInfo,,,,,
b,r,e,a,k
Duke,10
teamInfo,,,,,
b,r,e,a,k
Emory,3
teamInfo,Emory Juice,"Atlanta, Georgia",,,https://twitter.com/EmoryJuice
coaches,Matthew Shu
0,Alex Li
0,Daniel Monterroso
0,Grayson Stone
0,Jason Evans
0,Justin Davis
0,Luka Magdic
0,Peyton Hirschberg
0,Ryan Ko
0,Sean lin
0,Siddharth Madapura
0,Theodore (Cisco) Harrison
7,Cooper Deschenes-Worboy
8,Gabriel Hall
14,Toby Fuller
14,Zeyi Liu
16,Ricky Davis
19,Krish Patel
20,Ammon Longenecker
21,Reece Davidman
22,Warren Chang
23,Gregory Gavi
24,Songjie Pu
26,Lucas Gunzberg
26,Jesse Rider
28,Daniel Nickas
29,Kai Diez
b,r,e,a,k
Massachusetts  (B),5
teamInfo,,,,,
b,r,e,a,k
Appalachian State,11
teamInfo,Nomads,"Boone, North Carolina",,,https://twitter.com/Nomads_Ultimate
0,Cyrus Ager
0,Francisco Bonenberger
0,Gibson Hagman
0,Ian Stone
0,Ian Meldrum
0,Jack Stephenson
0,Jacob Milano
0,James Arrington IV
0,James Russell
0,Johnny Campione
0,Adrián Gutierrez-Marty
0,Benjamin Stafford
0,Coen Figge
0,Conner Maddox
0,Owen Honnold
0,Samuel Crosbie
0,Shepherd Cowan
0,William Benditz
0,Kai Norris
0,Liam Raska
1,Cam Shook
8,Cooper Korson
8,Liam Eident
10,Joshua Pollard
13,Jonah Childs
b,r,e,a,k
SUNY-Binghamton,6
teamInfo,SUNY-Binghamton,"Binghamton, New York",https://sites.google.com/binghamton.edu/binghamtonultimate/,https://www.facebook.com/binghamtonultimate/,
0,Aaron Damsky
0,Aaron Miller
0,Cavan Hicks
0,Jason Berozi
0,John Edom
0,Leo Gallagher
0,Max Russo
0,Maxwell Cheung
0,Patrick Pellittiere
0,Quinlan Schultz
0,Samuel Miller
5,Leopold Fell
5,Aidan Perez
6,Ari Wechsler
6,Ryan LaBonte
7,Lucien Betancourt
21,Yuval Hermoni
23,Ryan Feile
29,Ethan Fried
40,James Pardo
47,Peter Conelli
54,Dylan Guzman
56,Charles Labarge
64,Ryan Carter
72,Neil  Costa
b,r,e,a,k
William & Mary,4
teamInfo,Merry Men,"Williamsburg, Virginia",,https://www.facebook.com/WMUltimateM/,https://twitter.com/WMultimateM
0,Atticus Nafziger
0,Christopher Kornblum
0,Dimitri Montwieler
0,Gabriel Lloyd
0,Harrison Greenberg
0,Henry Meehan
0,Jacob Barnard
0,Joshua Yoo
0,Marcus Lee
0,Sam Brothers
0,Thatcher Morgenstern
0,William McGarvey
0,Wyatt Travers
2,Erik Quam
3,Kent Grantz
5,Ethan Brookshier
6,Cavin Grantz
7,Jacob Herz
11,Luke Sahli
26,Ari Siegel
27,Tobias Herz
33,Anders Carlson
82,Samson Grinspun
87,William Basham
93,Gael Hoben
94,Theo Stehle-Smith
b,r,e,a,k
Lehigh,12
teamInfo,Lehigh,"Bethlehem, Pennsylvania",,,https://twitter.com/lehighultimate
0,Elijah Daly
0,Ethan Meron
0,Harry Germain
0,Harry Gindi
0,Jake Schachter
0,Michael Bahr
0,Noah Helmuth
0,Robert Wilson
0,Theodore Way
0,Thomas Dyett
0,Vaughn Clark
0,Will Kaplan
0,Brett Clinton
0,Cal Heathman
0,Chase Roth-Wells
0,Andrew Yu-Hwang
4,Brandon Reith
12,Aaron Lam
25,Dominic Policarpo
b,r,e,a,k
Liberty,13
teamInfo,Flames,"Lynchburg, Virginia",,,https://twitter.com/LUmensUltimate
0,Andrew Brechner
0,Avery Levandoski
0,Brody Johnson
0,Caleb Zimmerman
0,Daniel Erickson
0,Emerson Sites-Byers
0,Evan Hamm
0,Jude Greene
0,Kennedy Wilson
0,Luke Billingsley
0,Marquise Jackson
0,Murray Callan
0,Silas Rideout
0,Sterling Payne
1,Rupert Armentrout
10,Caedmon Eng
16,Micah Moore
24,Graham Sisson
28,Luke Overlie
44,Joshua Gross
99,Benjamin Marshall
b,r,e,a,k
Western Carolina,23
teamInfo,Western Carolina Catamounts,"Cullowhee, North Carolina",,,
0,Ben Armstrong
0,Camden Jordan
0,Chandler Lindley
0,Connor Campbell
0,John La
0,Jonathan Dickerson
0,Keion Owen
0,Logan Brummett
0,Grayson Burgess
0,Thomas Croxton
17,Nathan Donaldson
42,Jacob Kincaid
52,Matthew Brayley
77,Elijah Land
b,r,e,a,k
Maryland-Baltimore County,18
teamInfo,Booya,"Baltimore, Maryland",,https://www.facebook.com/BooyaUltimate/?ref=bookmarks,https://twitter.com/UMBCUltimate
0,Alex Will
0,Antonio Lazzaro
0,Brandon Yackulak
0,carter cole
0,Hamza Nasher-Alneam
0,Johann Bacarisas
0,Ethan Dudash
0,Noah Sagel
0,Noah Larsen
0,Stephan Yoseph
0,Trevor Stepp
1,Benjamin Guest
7,Avery Klein
7,Micah Carey
8,Cary Gerhardt
28,Jonah  Mule
33,Luke Maloy
50,Joshua Yamagata
77,Samuel Du
79,Ethan Au
b,r,e,a,k
Luther,19
teamInfo,No Regrets,"Long Beach, California",,,
0,Alessa-Heather Shaw
0,Aspen Gacutan
0,Dana Mirghani
0,Ella McDonald
5,Bailey Nanney
06,Angelly Castillo
08,Clarissa Hoffas
22,Kendall Miller
25,Lacey Stallard
33,Isabella Story
44,Maya Nold
67,sam gielow
69,Gianna Hernandez Farella
