Atlantic Coast Open 2026,College - Men ,28,3,2026
Middletown,NY,2026-03-28,2026-03-29
https://play.usaultimate.org/events/Northeast-Classic-2026/schedule/Men/CollegeMen/
Carleton College-CHOP,1
teamInfo,Carleton House of Pancakes,"Northfield, Minnesota",https://apps.carleton.edu/student/orgs/gop/,,https://twitter.com/chop_rocks
0,Henry Horstman Olson
0,Owen Montes
0,Thomas Frazelle
0,Max Nelson
2,Miles Collins
3,Tomomi Perry
4,Nicholas McGlashan
5,Dashiell Brenner
6,Jonah Barer
7,James Texter
8,Andrew Yeh
9,Max Resnik
12,Liam Atkins
13,Julian Kägi
14,William Anderson
18,Benjamin Garcia
19,Jonah Tannen
21,Danny Shope
30,Adam Ali
40,Chris Eppley
42,Linyi Liu
43,Nathan Wang
68,Cameron Dolbow
69,Koa Klose
85,Henry Nieckarz
87,Kyle Dolbow
b,r,e,a,k
Delaware,7
teamInfo,,,,,
b,r,e,a,k
Richmond,9
teamInfo,,,,,
b,r,e,a,k
Virginia Tech,2
teamInfo,Burn,"Blacksburg, Virginia",http://vtultimate.wix.com/virginiatechultimate,,https://twitter.com/VTBurn?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
0,Alex Winsness
0,Alex Vecino
0,Alper Kutlug
0,Brady Bernier
0,Brandon Behrens
0,Carter Williams
0,Eben Mostert
0,Ethan Harris
0,Gavin Martin
0,Jack Reger
0,Aiden O'Connor
0,Matthew Friedberg
0,Micah Craine
0,Nicholas Russell
0,Levi Pittman
0,Roberto Rivera
0,Ryan Link
0,Tate McEldowney
0,Trevor Parker
0,Will Meyer
3,Christopher Parinella
6,Ryan Greenfield
9,John Bruther
11,Aiden  Reed
12,Robbie Eldridge
14,Piyush Komali
23,Jacob Loveranes
25,Andrew Holladay
33,Kennon Arnold
69,Luke Kenney
89,Jacob Sigeti
b,r,e,a,k
Syracuse,8
teamInfo,,,,,
b,r,e,a,k
Duke,10
teamInfo,Brimstone,"Durham, North Carolina",,https://www.facebook.com/dukeBrimstoneUltimate/,https://twitter.com/Duke_Brimstone
coaches,Noah Krumme
0,Boaz Shames
0,Charles  Yarger
0,Colin Zeng
0,Jack Oakman
0,Jaime Chueca Arteaga
0,Joseph Song
0,Joshua Henschke
0,Kushal Hiremath
0,Leo Saarinen
0,Luis Pastor-Valverde
0,Matthew Sun
0,Myles Powicki
0,Paul Park
0,Samuel Steiner
0,Sebastian deSouza
0,Spencer Oshins
0,Xavier Monroy
4,Nathaniel Croce
6,Philip Sophocleous
8,Zhihan Xu
12,Andrew Ploskunak
13,Ryan Rowell
22,Andrew Angermeier
23,Bodhi Yang
24,Chad Murphy
30,Stephen Xie
32,Charles Jones
36,Christopher Li
51,Asher Wallen
55,Taraka Volpe
79,Bo Chi
88,Alec Hutchinson
99,Sam Stayn
b,r,e,a,k
Emory,3
teamInfo,Emory Juice,"Atlanta, Georgia",,,https://twitter.com/EmoryJuice
0,Alex Li
0,Avery Hamilton
0,Daniel Monterroso
0,Dean Damon
0,Grayson Stone
0,Justin Davis
0,Nikhil Murari
0,Sean lin
0,Siddharth Madapura
0,Theodore (Cisco) Harrison
7,Cooper Deschenes-Worboy
8,Gabriel Hall
14,Toby Fuller
14,Zeyi Liu
16,Ricky Davis
19,Krish Patel
20,Ammon Longenecker
21,Reece Davidman
22,Warren Chang
23,Gregory Gavi
24,Songjie Pu
26,Jesse Rider
26,Lucas Gunzberg
28,Daniel Nickas
29,Kai Diez
b,r,e,a,k
Massachusetts  (B),5
teamInfo,Umass Amherst Developmental,"Amherst, Massachusetts",,,https://twitter.com/ZoodiscD
0,Armando Feldman
01,Zakariya Gdihi
02,Emmett Jereb
03,Caleb Bird-Richards
06,Rowan Ferguson
07,Matan Ryan
08,Henry Loftus
09,Aditya Shanbag
10,Brayden Begian
11,Taylor Hanson
12,John Park
13,Connor Geary
17,Ian Maksym
18,Isaac Silberman
19,Ryan Lynch
22,Dante Barutta
23,Carter Stevens
24,Halaf Montarroyos
25,Naoya Miyamoto
29,Aiden Roy
44,Hayden Bouley
50,Timothy Corkery
66,Abram Brownson
97,Zachary Ditkoff
99,Olen Baumfeld
b,r,e,a,k
Appalachian State,11
teamInfo,Nomads,"Boone, North Carolina",,,https://twitter.com/Nomads_Ultimate
0,Cyrus Ager
0,Francisco Bonenberger
0,Gibson Hagman
0,Ian Stone
0,Ian Meldrum
0,Jack Stephenson
0,Jacob Milano
0,James Arrington IV
0,James Russell
0,Johnny Campione
0,Adrián Gutierrez-Marty
0,Benjamin Stafford
0,Coen Figge
0,Conner Maddox
0,Owen Honnold
0,Samuel Crosbie
0,Shepherd Cowan
0,William Benditz
0,Kai Norris
0,Liam Raska
1,Cam Shook
8,Cooper Korson
8,Liam Eident
10,Joshua Pollard
13,Jonah Childs
b,r,e,a,k
SUNY-Binghamton,6
teamInfo,SUNY-Binghamton,"Binghamton, New York",https://sites.google.com/binghamton.edu/binghamtonultimate/,https://www.facebook.com/binghamtonultimate/,
0,Aaron Damsky
0,Aaron Miller
0,Aidan Perez
0,Cavan Hicks
0,Jason Berozi
0,John Edom
0,Leo Gallagher
0,Max Russo
0,Maxwell Cheung
0,Patrick Pellittiere
0,Quinlan Schultz
0,Samuel Miller
5,Leopold Fell
6,Ari Wechsler
6,Ryan LaBonte
7,Lucien Betancourt
21,Yuval Hermoni
23,Ryan Feile
29,Ethan Fried
40,James Pardo
47,Peter Conelli
54,Dylan Guzman
56,Charles Labarge
64,Ryan Carter
72,Neil  Costa
b,r,e,a,k
William & Mary,4
teamInfo,Merry Men,"Williamsburg, Virginia",,https://www.facebook.com/WMUltimateM/,https://twitter.com/WMultimateM
0,Atticus Nafziger
0,Christopher Kornblum
0,Dimitri Montwieler
0,Gabriel Lloyd
0,Harrison Greenberg
0,Henry Meehan
0,Jacob Barnard
0,Joshua Yoo
0,Marcus Lee
0,Sam Brothers
0,Thatcher Morgenstern
0,William McGarvey
0,Wyatt Travers
2,Erik Quam
3,Kent Grantz
5,Ethan Brookshier
6,Cavin Grantz
7,Jacob Herz
11,Luke Sahli
26,Ari Siegel
27,Tobias Herz
33,Anders Carlson
82,Samson Grinspun
87,William Basham
93,Gael Hoben
94,Theo Stehle-Smith
b,r,e,a,k
Lehigh,12
teamInfo,,,,,
b,r,e,a,k
Liberty,13
teamInfo,Flames,"Lynchburg, Virginia",,,https://twitter.com/LUmensUltimate
0,Andrew Brechner
0,Avery Levandoski
0,Brody Johnson
0,Caleb Zimmerman
0,Daniel Erickson
0,Emerson Sites-Byers
0,Evan Hamm
0,Jude Greene
0,Kennedy Wilson
0,Luke Billingsley
0,Marquise Jackson
0,Murray Callan
0,Silas Rideout
0,Sterling Payne
1,Rupert Armentrout
10,Caedmon Eng
16,Micah Moore
24,Graham Sisson
28,Luke Overlie
44,Joshua Gross
99,Benjamin Marshall
b,r,e,a,k
Western Carolina,23
teamInfo,,,,,
b,r,e,a,k
Maryland-Baltimore County,18
teamInfo,,,,,
b,r,e,a,k
Luther,19
teamInfo,,,,,
b,r,e,a,k
East Carolina,14
teamInfo,,,,,
b,r,e,a,k
American,17
teamInfo,,,,,
b,r,e,a,k
Virginia Commonwealth,20
teamInfo,,,,,
b,r,e,a,k
South Carolina (B),22
teamInfo,,,,,
b,r,e,a,k
Davidson,15
teamInfo,,,,,
b,r,e,a,k
South Carolina,16
teamInfo,,,,,
b,r,e,a,k
Virginia Tech (B),21
teamInfo,,,,,
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Carleton College-CHOP,Richmond,12,13,"03/21/2026, 09:00",Pool A,Final
Delaware,Richmond,14,9,"03/21/2026, 10:45",Pool A,Final
Carleton College-CHOP,Delaware,15,10,"03/21/2026, 12:30",Pool A,Final
pool,Pool B
Virginia Tech,Duke,15,10,"03/21/2026, 09:00",Pool B,Final
Syracuse,Duke,13,10,"03/21/2026, 10:45",Pool B,Final
Virginia Tech,Syracuse,12,11,"03/21/2026, 12:30",Pool B,Final
pool,Pool C
Emory,Appalachian State,13,10,"03/21/2026, 09:00",Pool C,Final
Massachusetts  (B),Appalachian State,15,8,"03/21/2026, 10:45",Pool C,Final
Emory,Massachusetts  (B),11,10,"03/21/2026, 12:30",Pool C,Final
pool,Pool D
William & Mary,Lehigh,12,9,"03/21/2026, 09:00",Pool D,Final
SUNY-Binghamton,Lehigh,15,9,"03/21/2026, 10:45",Pool D,Final
William & Mary,SUNY-Binghamton,10,15,"03/21/2026, 12:30",Pool D,Final
pool,Pool E
Liberty,Western Carolina,15,7,"03/21/2026, 10:45",Pool E,Final
Maryland-Baltimore County,Luther,15,8,"03/21/2026, 10:45",Pool E,Final
Liberty,Maryland-Baltimore County,13,5,"03/21/2026, 12:30",Pool E,Final
