Big Sky D-I Women's Conferences,College - Women ,2,5,2026
Burlington,WA,2026-05-02,2026-05-03
https://play.usaultimate.org/events/Northwest-D-I-College-Womens-Regionals-2026/schedule/Women/CollegeWomen/
Brigham Young,2
teamInfo,,,,,
b,r,e,a,k
Utah,1
teamInfo,Spiral Jetty Ultimate,"Salt Lake City, Utah",http://spiraljettyultimate.weebly.com/,https://www.facebook.com/pages/Spiral-Jetty-Ultimate/113676238733086,http://@spiraljettyulti
02,Taylor Melner
03,Kate Barry
04,Lily Terpstra
05,Lucy Leary
06,Emily Dalley
07,Jasmine Bowman
08,Kate Dahlin
11,Megan Blommel
13,Lily Nygard
14,Lily Sudar
15,Emilee Jensen
17,Mary Francis
22,Spencer Ewing
23,Kathryn Lawrence
25,Shannon Anderson
27,Mazzy Snow
28,Violet Eleson
31,Andie Madsen
33,Lucia May
47,Madeleine  Sarles
b,r,e,a,k
Montana,3
teamInfo,MT PillowFight,"Missoula, Montana",,,https://twitter.com/MTPillowFight
0,Sophie Konerza
0,Ruby Evans
0,Tegan Holme
0,Rayne  McCollough
00,Eva Santos
00,Molly Woods
02,Anne Rehberger
07,Jillian Griggs
08,Harper McIntyre
13,Charlotte Caistor
15,Abby Brown
20,Eva Hicks
24,Anneke McQuillen
32,Ellie Burger
b,r,e,a,k
Montana State,4
teamInfo,,,,,
b,r,e,a,k
s,t,a,g,e,s
pools,Championship Round Robin
pool,Pool A
Utah,Montana,15,1,"04/11/2026, 09:00",Pool A,Final
Brigham Young,Montana State,15,2,"04/11/2026, 09:00",Pool A,Final
Utah,Montana State,15,2,"04/11/2026, 11:30",Pool A,Final
Brigham Young,Montana,15,3,"04/11/2026, 11:30",Pool A,Final
Utah,Brigham Young,10,11,"04/11/2026, 15:30",Pool A,Final
Montana,Montana State,9,5,"04/11/2026, 15:30",Pool A,Final
b,r,e,a,k
