Huck Finn X,college-womens,25,3,2006
St. Louis,MO,2006-03-25,2006-03-26
https://scorereport.net/2006/college-womens/event2302
Wisconsin
b,r,e,a,k
Hendrix
b,r,e,a,k
Vanderbilt
b,r,e,a,k
STL women
b,r,e,a,k
St Louis
b,r,e,a,k
Luther
b,r,e,a,k
Washington University
b,r,e,a,k
Western Illinois
b,r,e,a,k
Truman State
b,r,e,a,k
WUWA
b,r,e,a,k
Kansas
b,r,e,a,k
Loyola-Chicago
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Wisconsin,Hendrix,13,0,"03/25/2006, 09:00",Pool A,final
Vanderbilt,STL women,2,13,"03/25/2006, 09:00",Pool A,final
St Louis,Luther,13,10,"03/25/2006, 09:00",Pool A,final
Wisconsin,STL women,13,4,"03/25/2006, 10:45",Pool A,final
Vanderbilt,St Louis,5,13,"03/25/2006, 10:45",Pool A,final
Hendrix,Luther,11,13,"03/25/2006, 10:45",Pool A,final
Wisconsin,St Louis,13,4,"03/25/2006, 12:30",Pool A,final
Vanderbilt,Luther,9,11,"03/25/2006, 12:30",Pool A,final
STL women,Hendrix,13,3,"03/25/2006, 12:30",Pool A,final
Wisconsin,Luther,13,0,"03/25/2006, 14:15",Pool A,final
Vanderbilt,Hendrix,10,3,"03/25/2006, 14:15",Pool A,final
STL women,St Louis,7,13,"03/25/2006, 14:15",Pool A,final
Wisconsin,Vanderbilt,2,0,"03/25/2006, 16:00",Pool A,final
St Louis,Hendrix,12,6,"03/25/2006, 16:00",Pool A,final
STL women,Luther,8,13,"03/25/2006, 16:00",Pool A,final
pool,Pool B
Washington University,Western Illinois,13,5,"03/25/2006, 09:00",Pool B,final
Washington University,Western Illinois,13,5,"03/25/2006, 09:00",Pool B,final
Truman State,WUWA,7,9,"03/25/2006, 09:00",Pool B,final
Kansas,Loyola-Chicago,13,1,"03/25/2006, 09:00",Pool B,final
Washington University,Kansas,9,5,"03/25/2006, 10:45",Pool B,final
Truman State,Western Illinois,12,8,"03/25/2006, 10:45",Pool B,final
Loyola-Chicago,WUWA,0,13,"03/25/2006, 10:45",Pool B,final
Washington University,Truman State,12,8,"03/25/2006, 12:30",Pool B,final
WUWA,Kansas,13,4,"03/25/2006, 12:30",Pool B,final
Loyola-Chicago,Western Illinois,0,13,"03/25/2006, 12:30",Pool B,final
Washington University,Loyola-Chicago,13,3,"03/25/2006, 14:15",Pool B,final
WUWA,Western Illinois,13,4,"03/25/2006, 14:15",Pool B,final
Truman State,Kansas,8,10,"03/25/2006, 14:15",Pool B,final
Washington University,WUWA,5,13,"03/25/2006, 16:00",Pool B,final
Kansas,Western Illinois,13,3,"03/25/2006, 16:00",Pool B,final
Truman State,Loyola-Chicago,13,4,"03/25/2006, 16:00",Pool B,final
b,r,e,a,k
brackets,Bracket
bracket,championship bracket
Wisconsin,Truman State,15,4,"03/26/2006, 00:00",championship bracket,final
Truman State,Vanderbilt,13,7,"03/26/2006, 00:00",championship bracket,final
Wisconsin,Washington University,15,5,"03/26/2006, 00:00",championship bracket,final
Washington University,Luther,14,12,"03/26/2006, 00:00",championship bracket,final
Luther,Loyola-Chicago,15,1,"03/26/2006, 00:00",championship bracket,final
Wisconsin,WUWA,15,6,"03/26/2006, 00:00",championship bracket,final
WUWA,STL women,10,7,"03/26/2006, 00:00",championship bracket,final
STL women,Western Illinois,13,6,"03/26/2006, 00:00",championship bracket,final
WUWA,St Louis,11,7,"03/26/2006, 00:00",championship bracket,final
St Louis,Kansas,13,5,"03/26/2006, 00:00",championship bracket,final
Kansas,Hendrix,15,2,"03/26/2006, 00:00",championship bracket,final
bracket,3rd place
Washington University,St Louis,7,6,"03/26/2006, 02:15",3rd place,final
bracket,5th place
Truman State,Luther,13,6,"03/26/2006, 12:30",5th place,final
STL women,Kansas,7,1,"03/26/2006, 12:30",5th place,final
bracket,9th place
Hendrix,Western Illinois,11,9,"03/25/2006, 10:45",9th place,final
Vanderbilt,Loyola-Chicago,15,2,"03/26/2006, 10:45",9th place,final
Vanderbilt,Hendrix,9,0,"03/26/2006, 12:30",9th place,final
b,r,e,a,k
