Northwest Plains Mixed Sectionals,mixed club,20,9,2008
Maple Plain,MN,2008-09-20,2008-09-21
https://scorereport.net/2008/mixed/event5164
Alpha Cobra Squadron
b,r,e,a,k
Oh Boy!
b,r,e,a,k
Mad Udderburn
b,r,e,a,k
Plowed
b,r,e,a,k
Teddy Grumpskins
b,r,e,a,k
Peppermint Bon Bon
b,r,e,a,k
Playground Heroes
b,r,e,a,k
Deathstar Contractors
b,r,e,a,k
Midget Horse
b,r,e,a,k
Beastieflicks
b,r,e,a,k
Hopkins Hurt
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Alpha Cobra Squadron,Oh Boy!,13,7,"09/20/2008, 09:00",Pool A,final
Mad Udderburn,Plowed,11,8,"09/20/2008, 09:00",Pool A,final
Alpha Cobra Squadron,Mad Udderburn,13,5,"09/20/2008, 11:00",Pool A,final
Teddy Grumpskins,Plowed,13,5,"09/20/2008, 11:00",Pool A,final
Oh Boy!,Plowed,13,5,"09/20/2008, 13:00",Pool A,final
Teddy Grumpskins,Mad Udderburn,13,6,"09/20/2008, 13:00",Pool A,final
Oh Boy!,Mad Udderburn,13,1,"09/20/2008, 15:00",Pool A,final
Alpha Cobra Squadron,Teddy Grumpskins,13,6,"09/20/2008, 15:00",Pool A,final
Oh Boy!,Teddy Grumpskins,13,10,"09/20/2008, 17:00",Pool A,final
Alpha Cobra Squadron,Plowed,13,1,"09/20/2008, 17:00",Pool A,final
pool,Pool B
Peppermint Bon Bon,Playground Heroes,11,9,"09/20/2008, 09:30",Pool B,final
Deathstar Contractors,Midget Horse,11,5,"09/20/2008, 09:30",Pool B,final
Beastieflicks,Hopkins Hurt,8,11,"09/20/2008, 09:30",Pool B,final
Peppermint Bon Bon,Midget Horse,11,1,"09/20/2008, 11:20",Pool B,final
Deathstar Contractors,Beastieflicks,11,3,"09/20/2008, 11:20",Pool B,final
Playground Heroes,Hopkins Hurt,11,5,"09/20/2008, 11:20",Pool B,final
Peppermint Bon Bon,Hopkins Hurt,11,6,"09/20/2008, 13:10",Pool B,final
Deathstar Contractors,Playground Heroes,11,8,"09/20/2008, 13:10",Pool B,final
Beastieflicks,Midget Horse,11,5,"09/20/2008, 13:10",Pool B,final
Peppermint Bon Bon,Beastieflicks,11,4,"09/20/2008, 15:00",Pool B,final
Deathstar Contractors,Hopkins Hurt,11,5,"09/20/2008, 15:00",Pool B,final
Playground Heroes,Midget Horse,12,10,"09/20/2008, 15:00",Pool B,final
Peppermint Bon Bon,Deathstar Contractors,11,7,"09/20/2008, 16:50",Pool B,final
Playground Heroes,Beastieflicks,11,8,"09/20/2008, 16:50",Pool B,final
Midget Horse,Hopkins Hurt,6,11,"09/20/2008, 16:50",Pool B,final
b,r,e,a,k
brackets,Bracket
bracket,Championship Bracket
Alpha Cobra Squadron,Deathstar Contractors,15,5,"09/21/2008, 09:00",Championship Bracket,final
Peppermint Bon Bon,Oh Boy!,15,13,"09/21/2008, 09:00",Championship Bracket,final
Alpha Cobra Squadron,Peppermint Bon Bon,15,10,"09/21/2008, 11:30",Championship Bracket,final
bracket,2nd Place Bracket
Oh Boy!,Deathstar Contractors,15,11,"09/21/2008, 11:30",2nd Place Bracket,final
bracket,5th Place Game
Teddy Grumpskins,Playground Heroes,16,14,"09/21/2008, 11:30",5th Place Game,final
bracket,6th Place Bracket
Beastieflicks,Mad Udderburn,15,8,"09/21/2008, 09:00",6th Place Bracket,final
Plowed,Hopkins Hurt,15,11,"09/21/2008, 09:00",6th Place Bracket,final
Beastieflicks,Plowed,15,7,"09/21/2008, 11:30",6th Place Bracket,final
bracket,6th Place Bracket
Playground Heroes,Beastieflicks,15,12,"09/21/2008, 02:00",6th Place Bracket,final
b,r,e,a,k
