2012 USAU South New England D-3 College Womens CC,college-womens,14,4,2012
Williamstown,MA,2012-04-14,2012-04-15
https://scorereport.net/2012/college-womens/event10750
Mount Holyoke
b,r,e,a,k
Clark/WPI
b,r,e,a,k
Williams
b,r,e,a,k
Amherst
b,r,e,a,k
Smith
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Mount Holyoke,Clark/WPI,0,15,"04/14/2012, 09:00",Pool A,final
Williams,Amherst,11,6,"04/14/2012, 09:00",Pool A,final
Smith,Amherst,14,5,"04/14/2012, 10:45",Pool A,final
Williams,Mount Holyoke,15,1,"04/14/2012, 10:45",Pool A,final
Smith,Clark/WPI,15,1,"04/14/2012, 12:30",Pool A,final
Amherst,Mount Holyoke,14,3,"04/14/2012, 12:30",Pool A,final
Smith,Mount Holyoke,15,1,"04/14/2012, 14:15",Pool A,final
Williams,Clark/WPI,15,1,"04/14/2012, 14:15",Pool A,final
Smith,Williams,7,13,"04/14/2012, 16:00",Pool A,final
Amherst,Clark/WPI,15,3,"04/14/2012, 16:00",Pool A,final
b,r,e,a,k
brackets,Bracket
bracket,1st Place
Smith,Amherst,13,8,"04/15/2012, 09:00",1st Place,final
Smith,Williams,15,5,"04/15/2012, 10:45",1st Place,final
bracket,3rd Place
Clark/WPI,Mount Holyoke,15,3,"04/15/2012, 09:00",3rd Place,final
Amherst,Clark/WPI,11,6,"04/15/2012, 10:45",3rd Place,final
b,r,e,a,k
