USA Ultimate National Championships,Club - Men ,16,10,2014
Frisco,TX,2014-10-16,2014-10-19
https://play.usaultimate.org/events/USA-Ultimate-National-Championships/schedule/Men/Club-Men/
Revolver,1
teamInfo,,"San Francisco, California",http://www.revolverultimate.com/,https://www.facebook.com/RevolverUltimate,https://twitter.com/revolverult
coaches,Mike Payne
01,Simon Higgins
02,TAYLOR LAHEY
04,Joel Schlachet
06,Joshua Wiseman
07,Russell Wynne
08,Patrick Baylis
09,Cassidy Rasmussen
10,Robbie Cahill
11,Zachary Travis
12,Sam Kanner
13,Alex Evangelides
18,Gregory Cohen
19,Ryo Kawaoka
20,Nick Schlag
21,Andrew Hagen
22,Marcelo Sanchez-Heredia
23,Jordan Jeffery
24,Elijah Kerns
27,Ashlin Joye
28,Nathan White
32,Jordan Marcy
34,Evan Boucher
35,Lucas Dallmann
50,Beau Kittredge
64,Martin Cochran
87,Chris Kosednar
99,Tim Gilligan
b,r,e,a,k
Prairie Fire,13
teamInfo,,"Kansas City, Kansas",http://prairiefireultimate.com,,
00,Joe Nickels
01,Peter (PJ) Matulka
02,Jay Froude
04,Joe Young
05,Allen Jones
06,Zach Hunter
07,BEN DENEKA
08,Robert Coffin
10,BRENDAN ORWIG
11,Tim Robbins
12,LEE N CLARK
13,Clarence Dennis
15,Cameron Hunter
17,Joe Wheelock
20,KYLE WELCH
21,Christian Simpson
23,Jesse White
24,Danny Kurz
25,Brett Hidaka
27,TAYLOR BOYD
29,Matthew Hudspith
34,AARON DUFF
42,Logan Nesseth
43,CAMERON BOND
52,Colin Lord
77,David Woods
85,Valley Renshaw
b,r,e,a,k
Doublewide,8
teamInfo,,"Austin, Texas",http://www.doublewidetx.com/,https://www.facebook.com/DoublewideUltimate,https://twitter.com/doublewidetx
02,RYAN PIERSALL
04,Ernesto Maximillian Cook
05,Jeff Loskorn
06,Michael Matthis
07,CHRISTOPHER SACKMANN
08,ANDREW WATSON
10,Steven Darroh
11,TREY LAMASTRES
12,Andrew Walch
13,Dalton Smith
14,Michael Cramer
15,DANIEL POINDEXTER
16,Chris Brooks
17,JACOB ANDERSON
18,WESLEY NEMEC
19,Ethan Pollack
20,Jerrod Wolfe
21,William Driscoll
22,Chase Cunningham
