TCT Pro-Elite Challenge (Colorado Cup) 2019,Club - Men ,13,7,2019
Aurora,CO,2019-07-13,2019-07-14
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-2019/schedule/Men/Club-Men/
PoNY,1
0,Alberto Alarcon
2,Sean Keegan
5,Joshua Stevens-Stein
7,Clark Cofer
8,Harper Garvey
9,Samuel Little
12,Matthew Lemar
13,Evan Padget
16,Michael Drost
17,Benjamin Katz
18,Tyler Haskell
19,Isaac Saul
21,Alex Thorne
23,Jimmy Mickle
27,Jack Hatchett
31,Chris Kocher
43,Josue Alorro
60,William Dean
66,Jibran Mieser
89,Esteban Zuluaga Gonzalez
97,Benjamin Spielman
b,r,e,a,k
SoCal Condors,12
0,Jonathan Helton
1,Michael Kiyoi
3,Michael Tran
4,Scott Radlauer
8,Nathan Ransom
9,Maxwell Hume
10,Sean McDougall
13,Mark Leggio
14,William Turner
16,Zach Theodore
17,Kenrick Koo
18,Kyle Rubin
19,Jeff Silverman
22,Wesley Groth
24,David Ritchie
27,Collin Gall
28,Bailey Wu
34,Jacob Bartholomew
42,Marcel Osborne
44,Tim Okita
55,Tyler Bacon
80,Travis Dunn
81,Calvin Brown
84,Jesse Cohen
88,Samuel Fontaine
b,r,e,a,k
Johnny Bravo,8
0,Mark Rauls
1,Jack Hinchsliff
3,David Miller
5,Elliott Erickson
7,Jonathan Nethercutt
8,Mathieu Agee
10,Nicholas Purifico
11,Joshua Crane
12,Joel Schlachet
14,Joseph Carrara
15,Dennison Bechis
19,Scott Trimble
22,Stanley Peterson
24,Matt Bubernak
25,Conor Tabor
29,Sandy Brown
32,Kevin Johnson
34,Henry Konker
35,Todd Wolma
38,Jonah Wisch
42,Ben Lohre
66,Matt Jackson
72,Dylan Salzman
84,Evan Boecking
85,Calvin Delamere
88,Quinn Finer
b,r,e,a,k
Patrol,13
0,Alex Atkins
0,Daniel Hartsoe
0,Zachary Sands
01,Nicholas LaRue
03,Brandon Lamberty
08,Nick Patel
10,Ethan Fortin
11,Scott Xu
15,Luke Greenley
16,Trevor Griesman
18,William Sickles
19,Thomas Allen
20,David Baer
21,Francisco Gomez
24,Ethan Peck
26,Colin Masino
27,Jake Rainwater
33,Brice Dunn
34,Jacob Price
41,Marc Sands
47,Matthew Ballman
48,Ryan Weaver
64,Evan Karson
69,Peter Burt
76,Trevor Lynch
b,r,e,a,k
Revolver,2
0,Adam Rees
0,Hunter Corbett
0,Jake Thorne
0,Nicholas Murphy
1,Simon Higgins
5,Danny Miesen
6,Julian Childs-Walker
9,Cassidy Rasmussen
9,Andrew Moore
14,Bob Liu
14,Kenneth Lim
15,Nick Tolfa
15,Michael Spear
17,Sawyer Thompson
21,Caleb Merriam
22,Marcelo Sanchez-Heredia
23,Antoine Davis
24,Elijah Kerns
32,Jordan Marcy
33,Ian Sweeney
33,Mark Lin
88,Byron Liu
93,Tom Doi
b,r,e,a,k
Chain Lightning,11
0,Daniel Sperling
1,William Lindquist
2,Austin Taylor
3,Matthew Knowles
7,Zack Avello
8,Christian Olsen
10,Danny On
11,Kelvin Williams
12,Matthew Smith
12,Phillip Dougherty
13,Josh Turner
14,John Stubbs
17,Alexander Trautman
21,Jacques Perivier
22,Sean Sears
26,Christian Gaeta
27,Paul Lally
28,Devin Waldrop
82,Sam Batson
87,Trenton Spinks
99,Mac McClellan
b,r,e,a,k
Chicago Machine,7
0,Jesse White
01,Alex Henderson
02,Joey Kennedy
03,Jeffrey Holm
04,Seth Weaver
05,Johnny Bansfield
06,Dex Dremann
07,Kurt Gibson
08,Stephan Mance
10,Von Alanguilan
11,Nathan Goff
13,Alex Evangelides
16,Yiding Hou
17,Keegan North
19,Paul Arters
24,Michael Pardo
25,Ross Barker
27,Zane Rankin
31,Walden Nelson
55,Pawel Janas
61,Eric Schumacher
94,Jack Shanahan
b,r,e,a,k
Voodoo,14
0,Beeman Rabut
0,Jakob Steen
0,June Rapisura
1,James Freed
2,Chris Bubernak
4,Tomas Delgado
6,Porter Jones
7,Gabe Port
7,Robert Geer
9,Spencer Lofink
10,Theodore Laws
10,Jeff Zhao
12,William Coffin
18,Robert Farwell
21,Lucas Chen
23,Dennis Casio
24,Daniel Mah
34,Nicholas Roberts
35,Justin Ting
38,Manuel Eckert
45,Michael Sylvester
46,Ryan Sturm
48,Jake Ritmire
52,Christopher Vandervoort
79,Robby Perkins-High
84,Jonathan Stacey
97,Zack Smith
b,r,e,a,k
Sockeye,3
0,Jacob Janin
1,Garrett Martin
2,Brice Dixon
5,Nathan Kwon
6,Phil Murray
8,Camden Allison-Hall
9,Simon Montague
02,Zachary Goulson
10,Dongyang Chen
11,Christian Foster
12,Assaf Golan
12,Tony Venneri
14,William Turner
15,Derek Mourad
16,Trent Dillon
19,Husayn Carnegie
22,Matthew Russell
28,Duncan Linn
31,Matthew Rehder
37,Thomas  Kulczak
55,Dylan Freechild
70,Julian Hausman
77,Ben Snell
87,Chris Kosednar
89,Milan Ravenell
90,Shane Worthington
b,r,e,a,k
Sub Zero,6
2,Logan Pruess
01,Ryan Osgar
03,Colin Berry
04,Gregory Cousins
05,Charles McCutcheon
08,Charles Weinberg
10,Anthony Poletto
15,Kristian Johnson
16,Bill Everhart
16,Ethan Rasmussen
18,Wystan Duhn
19,Grayson Pangburn
20,Thomas Echols
21,Codi Wood
22,Marco Dregni
23,Saurav Dubey
24,Trevor Graham
26,Jordan Taylor
29,Josh Klane
32,Andrew Roy
66,Jason Tschida
69,Josh Kautz
71,Nicholas Simonelli
92,Kevin Brown
99,Tristan Van De Moortele
b,r,e,a,k
GOAT,10
1,Akifumi Muraoka
2,Kieran Charnock
3,Andrew Carroll
5,Luc Comire
6,Jason  Lam
8,Paul Mensah
9,Jaret Meron
11,Jonathan (JJ) Edwards
13,Iain MacKenzie
15,Jacky Hau
16,Ben Pries
17,Isaiah Masek-Kelly
18,Toly Vasilyev
19,Thomson McKnight
21,Geoffrey Powell
24,Jeremy Norden
27,Nathan Hirst
34,Philip Turner
80,Kevin Quinlan
86,Dan LaFrance
89,Mark Lloyd
91,Cameron Harris
b,r,e,a,k
Prairie Fire,15
02,Austin Barnes
03,Jeffrey Rehm
04,Joe Young
05,Bret Bergmeier
08,Allen Jones
09,Brooks Hidaka
11,Tim Robbins
12,Casey Aldridge
13,Jared VanLandingham
15,Cameron Hunter
16,Keaton Bowers
17,Joe Wheelock
18,Josh Manning
19,Thomas Schreiber
20,JT Stancil
21,Christian Simpson
22,Ryan Tuschhoff
24,Danny Kurz
27,Kyle Thompson
28,Wint Doering
34,Colin Beauregard
35,Ryan Irvin
51,Ethan Sabado
67,Spencer Patterson
b,r,e,a,k
Truck Stop,4
01,Max Cassell
04,Delrico Johnson
05,David Cranston
08,Jeremy Hess
10,Tyler Monroe
14,Lloyd Blake
15,Nathan Castine
17,Eric Miner
21,Matthew Rowan McDonnell
24,Jacques Nissen
29,Christian Johnson
30,David Bloodgood
33,Jacob Radack
33,Ryan Swift
36,Nick Spiva
43,Nathan Prior
45,Jeff Wodatch
51,Kevin Versteeg
52,Gus Norrbom
63,David Shields
88,Duncan Fitzgerald
90,Markham Shofner
91,Troy Holland
b,r,e,a,k
Rhino Slam!,9
0,Holden Carroll
0,Patrick Murphy
4,Jason Simms
5,Daniel Young
11,Kyle Hancock
12,Jonathan Lee
17,Raphael Hayes
20,James Shaw
23,Kuochuan Ponzio
24,Nicholas Jackson
